N	3gram	Tiupa_Narr_1	KulturaY
1	с точки зрения	2	16
2	можно было бы	2	10
3	тем не менее	3	9
4	в том что	8	8
5	той или иной	4	5
6	в данном случае	4	4
7	в связи с	2	4
8	с одной стороны	7	4
9	с другой стороны	4	3
10	не только в	2	3
11	не может быть	5	3
12	того или иного	2	3
13	о том что	6	3
14	в том числе	6	2
15	в отличие от	5	2
16	на себя внимание	3	2
17	то или иное	2	2
18	в той или	2	2
19	в первом случае	2	2
20	более или менее	2	2
21	в таком случае	2	2
22	в известном смысле	2	2
23	по отношению к	6	2
24	к тому же	4	2
