N	2gram	Potebnia_M_1	VerxiiNi
1	и в	39	26
2	таким образом	13	22
3	с тем	5	18
4	вместе с	8	15
5	в этом	15	15
6	точки зрения	8	13
7	как бы	6	12
8	в том	26	11
9	может быть	27	10
10	не только	21	10
11	и с	3	10
12	из этих	4	10
13	связи с	3	9
14	что в	22	9
15	но и	20	9
16	так как	21	9
17	с другой	7	8
18	но не	8	8
19	и не	18	8
20	как на	3	8
21	том что	16	7
22	но все	2	7
23	одной стороны	3	7
24	то что	10	7
25	с одной	3	7
26	потому что	52	7
27	но в	9	7
28	к тому	4	6
29	и потому	5	6
30	того же	3	6
31	несмотря на	5	6
32	что и	6	6
33	все же	6	6
34	так и	13	6
35	с точки	3	6
36	во всяком	3	6
37	в себе	13	6
38	мы должны	3	6
39	о том	2	6
40	крайней мере	2	5
41	в его	5	5
42	никогда не	4	5
43	так же	5	5
44	а не	21	5
45	того чтобы	2	5
46	для того	3	5
47	не имеет	5	5
48	и для	5	5
49	в мире	3	5
50	по крайней	2	5
51	в этих	7	4
52	и от	3	4
53	что все	3	4
54	и вместе	2	4
55	в нем	20	4
56	в смысле	4	4
57	в самом	3	4
58	не может	22	4
59	и только	2	4
60	а в	5	4
61	то же	6	4
62	что оно	2	4
63	в течение	2	4
64	и что	10	4
65	на этот	2	4
66	и по	6	4
67	он не	3	4
68	в то	4	4
69	только в	25	4
70	то есть	42	4
71	в этой	3	4
72	не менее	6	3
73	что это	3	3
74	если бы	14	3
75	из которого	3	3
76	хотя бы	2	3
77	точно так	11	3
78	уже с	2	3
79	для него	4	3
80	с самого	3	3
81	так что	16	3
82	и как	6	3
83	и при	3	3
84	в своем	3	3
85	и если	2	3
86	и о	2	3
87	к ним	2	3
88	тем не	6	3
89	отношению к	13	3
90	при этом	6	3
91	но с	2	3
92	уже не	2	3
93	того что	8	3
94	и даже	4	3
95	в которой	2	3
96	в таком	5	3
97	с этой	2	3
98	а так	4	3
99	в других	2	3
100	в одном	8	3
101	есть как	2	2
102	не могут	4	2
103	самого начала	3	2
104	ни было	2	2
105	только не	2	2
106	одно из	3	2
107	из себя	5	2
108	при таком	4	2
109	взгляд на	2	2
110	в них	3	2
111	убеждение что	2	2
112	только для	3	2
113	тогда когда	9	2
114	еще только	2	2
115	но при	3	2
116	на все	2	2
117	прежде всего	4	2
118	в свою	4	2
119	на то	2	2
120	к одной	3	2
121	то ни	3	2
122	мы видели	4	2
123	в начале	2	2
124	что именно	2	2
125	все что	2	2
126	же время	4	2
127	так например	3	2
128	что мы	4	2
129	еще не	6	2
130	мысль о	2	2
131	для всех	5	2
132	но если	2	2
133	но вместе	2	2
134	не могло	3	2
135	бы то	2	2
136	жизни и	2	2
137	во всех	5	2
138	связь с	2	2
139	заключает в	2	2
140	в создании	3	2
141	только что	2	2
142	для этого	2	2
143	в разных	2	2
144	не было	4	2
145	если не	2	2
146	в самой	3	2
147	в одно	2	2
148	одним из	2	2
149	в глазах	3	2
150	сказать что	3	2
151	не в	15	2
152	мы можем	2	2
153	о котором	3	2
154	не могла	2	2
155	ее с	2	2
156	ничего общего	2	2
157	живых существ	2	2
158	и все	3	2
159	и это	3	2
160	из этого	2	2
161	относится к	3	2
162	не потому	2	2
163	них не	2	2
164	к которому	3	2
165	между тем	5	2
166	в виду	2	2
167	из него	2	2
