N	2gram	Losev_Vesc_1	FransuaR
1	и в	21	41
2	таким образом	8	19
3	в этом	4	15
4	и все	5	14
5	как и	8	14
6	в этой	3	13
7	то же	6	13
8	все эти	3	13
9	мы уже	3	12
10	в его	2	12
11	прежде всего	9	11
12	в том	8	11
13	как мы	4	11
14	в себе	14	11
15	так и	3	10
16	все это	5	10
17	в то	3	10
18	и его	2	9
19	не в	5	9
20	но и	18	9
21	в своем	6	9
22	что в	9	9
23	в конце	2	8
24	и от	3	8
25	по существу	2	8
26	то что	27	8
27	но в	5	8
28	вовсе не	10	7
29	как бы	12	7
30	в нем	2	7
31	и не	29	7
32	у него	2	6
33	это не	5	6
34	мы видим	2	6
35	для него	4	6
36	только в	14	6
37	о том	6	6
38	не только	36	5
39	на этом	2	5
40	в ней	12	5
41	что и	3	5
42	и у	3	5
43	а в	4	5
44	и для	9	5
45	точки зрения	5	5
46	и это	14	5
47	потому что	16	5
48	что это	13	4
49	хотя и	4	4
50	но он	2	4
51	и здесь	4	4
52	момент в	6	4
53	том что	8	4
54	одна из	5	4
55	было бы	14	4
56	в сущности	4	4
57	может быть	16	4
58	в виду	2	4
59	как я	4	4
60	должно быть	6	4
61	и с	8	4
62	конце концов	2	4
63	ничего не	3	4
64	из самых	2	3
65	я не	4	3
66	и есть	26	3
67	в отношении	4	3
68	что у	5	3
69	того же	5	3
70	в одном	2	3
71	и потому	5	3
72	но это	10	3
73	свою очередь	4	3
74	в своей	5	3
75	есть и	4	3
76	в свою	4	3
77	кроме того	4	3
78	но именно	2	3
79	из них	4	3
80	и их	7	3
81	и эта	3	3
82	выражение в	3	3
83	с ее	6	3
84	жизни и	2	3
85	во всех	2	3
86	в свете	7	3
87	не может	17	3
88	в той	3	3
89	с точки	3	3
90	той же	2	3
91	можно было	2	3
92	с ними	3	3
93	нас в	3	3
94	ничем не	3	3
95	тем что	2	3
96	его в	2	3
97	так как	7	3
98	от этого	2	3
99	перед нами	2	2
100	что все	2	2
101	ни было	4	2
102	где она	2	2
103	собственное имя	5	2
104	и всем	4	2
105	никогда не	2	2
106	что между	2	2
107	в отдельности	4	2
108	содержится в	3	2
109	другими словами	5	2
110	и во	3	2
111	с этим	3	2
112	а следовательно	2	2
113	все существующее	2	2
114	вещи в	9	2
115	есть то	9	2
116	есть не	14	2
117	и ее	18	2
118	к тому	3	2
119	и еще	2	2
120	и как	8	2
121	отрыве от	2	2
122	оно и	4	2
123	в себя	13	2
124	одно и	5	2
125	тот же	3	2
126	еще не	8	2
127	того что	8	2
128	и может	2	2
129	в отрыве	2	2
130	свидетельствует о	3	2
131	они как	2	2
132	дело не	2	2
133	оно не	3	2
134	должен быть	2	2
135	не есть	49	2
136	не знаем	2	2
137	и образ	3	2
138	в первой	2	2
139	как нечто	2	2
140	в разных	4	2
141	и сама	3	2
142	еще более	2	2
143	не просто	19	2
144	находится в	3	2
145	и вот	2	2
146	только на	3	2
147	а не	19	2
148	свое время	2	2
149	а только	3	2
150	уже не	9	2
151	что значит	8	2
152	мы не	6	2
153	или в	2	2
154	и заставляет	2	2
155	в данном	5	2
156	и то	10	2
157	все вещи	2	2
158	в результате	3	2
159	их в	3	2
160	во всяком	3	2
161	что есть	5	2
162	ту же	2	2
163	также и	6	2
164	в свое	2	2
165	дело в	4	2
166	бы в	5	2
167	в чем	6	2
168	с ним	8	2
169	мы имеем	7	2
