N	2gram	Vygotskiy__1	Hudozhes
1	и в	31	28
2	том что	16	19
3	в ее	5	18
4	и не	16	18
5	в том	30	15
6	а не	13	14
7	не в	11	13
8	в этом	12	13
9	о том	7	12
10	как и	16	11
11	при этом	19	11
12	в его	6	11
13	не только	13	11
14	уже не	2	10
15	но и	2	9
16	в себе	4	9
17	о чем	2	8
18	в жизни	2	8
19	что он	7	8
20	может быть	22	8
21	так и	3	8
22	между тем	4	8
23	и все	5	7
24	к тому	4	7
25	в частности	3	7
26	что она	6	7
27	с ним	2	7
28	состоит в	3	7
29	как это	4	7
30	казалось бы	2	6
31	в котором	4	6
32	то что	32	6
33	жизни и	3	6
34	в своей	3	6
35	если бы	6	6
36	то же	5	6
37	не было	3	6
38	а в	6	6
39	и с	2	6
40	в то	5	6
41	что это	6	5
42	и другие	4	5
43	не менее	2	5
44	у него	4	5
45	в своем	3	5
46	как бы	5	5
47	как в	9	5
48	в этой	3	5
49	что в	23	5
50	она не	5	5
51	в самом	11	5
52	никогда не	8	5
53	только на	3	5
54	и его	7	5
55	одно из	2	5
56	ничего не	2	5
57	бы и	2	4
58	тому что	4	4
59	тем не	2	4
60	говорит о	2	4
61	но не	3	4
62	что они	2	4
63	в качестве	2	4
64	в художественном	3	4
65	для того	6	4
66	вслед за	6	4
67	и о	4	4
68	он не	3	4
69	в конечном	3	4
70	что и	13	4
71	и т	26	4
72	как раз	2	4
73	то и	2	4
74	не может	17	4
75	того чтобы	7	4
76	подобно тому	5	4
77	как будто	5	4
78	только в	14	4
79	тому как	7	4
80	все время	4	3
81	конечном счете	3	3
82	в них	2	3
83	в состоянии	3	3
84	столь же	4	3
85	с другой	5	3
86	в одном	2	3
87	человека и	2	3
88	что все	3	3
89	прежде всего	4	3
90	в нем	2	3
91	что на	3	3
92	для нас	5	3
93	всякий раз	8	3
94	самом деле	9	3
95	все что	3	3
96	одной стороны	6	3
97	было бы	6	3
98	по поводу	2	3
99	этого произведения	2	3
100	несмотря на	5	3
101	в этих	4	3
102	противоречие с	3	3
103	со стороны	4	3
104	все это	8	3
105	с одной	5	3
106	и состоит	2	3
107	отдельного человека	10	3
108	так же	12	3
109	что у	3	3
110	же самое	2	3
111	будто бы	2	3
112	как он	2	3
113	и это	3	3
114	к нему	2	3
115	в основе	2	2
116	и составляет	2	2
117	только не	3	2
118	т е	3	2
119	себя и	2	2
120	отнюдь не	6	2
121	его и	3	2
122	и от	2	2
123	из этих	6	2
124	гораздо более	2	2
125	вовсе не	6	2
126	как мы	2	2
127	она в	2	2
128	мы знаем	3	2
129	тому же	3	2
130	что я	4	2
131	же как	4	2
132	одна из	4	2
133	и к	3	2
134	до сих	3	2
135	не является	5	2
136	к числу	2	2
137	один из	4	2
138	все же	5	2
139	не будет	3	2
140	отношение к	2	2
141	из них	2	2
142	вместе с	8	2
143	сих пор	3	2
144	что же	2	2
145	мысли и	2	2
146	приводит к	2	2
147	и тогда	2	2
148	дело с	3	2
149	как на	3	2
150	т п	16	2
151	т д	8	2
152	те же	4	2
153	тем самым	2	2
154	и у	4	2
155	который в	3	2
156	и для	5	2
157	с точки	2	2
158	той же	3	2
159	роль в	3	2
160	и то	2	2
161	из нас	2	2
162	сказать что	7	2
163	потому что	10	2
164	нуждается в	3	2
165	точки зрения	15	2
166	приходит к	2	2
167	что даже	2	2
168	и только	3	2
169	его в	2	2
170	зрения на	2	2
171	этими словами	2	2
172	та же	3	2
173	но в	3	2
