N	3gram	Vinokur_St_1	Komedia
1	до сих пор	7	9
2	в том что	17	9
3	в самом деле	5	6
4	для того чтобы	10	6
5	то же время	4	4
6	о том что	11	4
7	в то же	4	4
8	и в самом	3	3
9	во всяком случае	6	3
10	с точки зрения	8	3
11	с одной стороны	2	3
12	по отношению к	3	3
13	речь идет о	2	3
14	тем не менее	2	3
15	и т п	9	3
16	в этом случае	2	2
17	с другой стороны	6	2
18	в то время	2	2
19	в этом отношении	7	2
20	т е в	2	2
21	на этот раз	2	2
22	то обстоятельство что	2	2
23	но все же	3	2
24	что и в	4	2
25	так или иначе	2	2
