N	2gram	Vinokur_St_1	OGranits
1	и в	44	13
2	и его	8	12
3	прежде всего	7	9
4	не может	8	8
5	и не	16	8
6	может быть	15	8
7	и их	2	7
8	точки зрения	11	7
9	в его	9	7
10	таким образом	7	6
11	не только	18	6
12	то что	18	6
13	только в	10	6
14	как бы	4	6
15	все же	8	5
16	с точки	8	5
17	языка и	4	5
18	но ведь	8	5
19	хотя бы	6	5
20	то же	5	4
21	не является	3	4
22	в своей	6	4
23	вопроса о	3	4
24	все это	5	4
25	в каждом	3	4
26	еще и	2	4
27	в двух	3	4
28	лишь в	3	4
29	мы не	2	4
30	было бы	17	4
31	в сознании	2	4
32	но в	10	4
33	и уже	2	3
34	отношению к	3	3
35	что в	30	3
36	никогда не	5	3
37	но и	10	3
38	материала и	2	3
39	так и	9	3
40	что же	6	3
41	по отношению	3	3
42	вряд ли	5	3
43	и все	2	3
44	точку зрения	3	3
45	превращается в	2	3
46	самом деле	11	3
47	в ее	4	3
48	да и	3	3
49	как и	9	3
50	не в	12	3
51	за пределы	2	3
52	в которой	4	3
53	и то	5	3
54	г в	5	3
55	ни один	2	3
56	в себе	2	3
57	говорить о	2	3
58	ничего общего	3	3
59	с этим	3	3
60	и для	3	3
61	общего с	3	3
62	так как	5	3
63	но для	2	3
64	с историей	2	2
65	не менее	5	2
66	для себя	3	2
67	уже в	2	2
68	с этой	3	2
69	а как	2	2
70	и тем	3	2
71	в нем	5	2
72	вопросы связанные	2	2
73	в целом	5	2
74	своего рода	3	2
75	данном случае	6	2
76	а не	16	2
77	что эта	2	2
78	думать что	2	2
79	в отношении	9	2
80	другой стороны	7	2
81	с другой	9	2
82	а в	17	2
83	истории литературы	2	2
84	с одной	3	2
85	все эти	5	2
86	вовсе не	19	2
87	или иного	4	2
88	в тех	3	2
89	как в	13	2
90	если бы	9	2
91	в чем	3	2
92	не имеет	4	2
93	в г	3	2
94	в том	36	2
95	так же	5	2
96	том что	29	2
97	в своих	2	2
98	в данном	14	2
99	что они	7	2
100	в этом	21	2
101	от этого	2	2
102	тем что	5	2
103	между тем	3	2
104	могут быть	5	2
105	при этом	2	2
106	к сожалению	3	2
107	связанные с	3	2
108	для него	6	2
109	в другом	3	2
110	одной стороны	2	2
111	кажется что	3	2
112	несмотря на	2	2
113	того или	4	2
114	в области	14	2
115	в самом	7	2
116	там где	5	2
117	в ней	3	2
118	а также	2	2
