N	2gram	Losev_Vesc_1	KulturaY
1	т е	55	38
2	и т	19	33
3	в том	8	30
4	и в	21	24
5	потому что	16	23
6	том что	8	21
7	что в	9	17
8	того чтобы	3	17
9	для того	2	16
10	и пр	6	15
11	было бы	14	15
12	т д	19	14
13	в этом	4	14
14	точки зрения	5	14
15	может быть	16	13
16	все же	4	12
17	таким образом	8	12
18	в его	2	12
19	и не	29	12
20	не в	5	11
21	только в	14	11
22	вовсе не	10	10
23	в силу	3	10
24	в самом	9	10
25	у нас	7	10
26	не только	36	10
27	хотя бы	6	10
28	если бы	5	9
29	то что	27	9
30	прежде всего	9	9
31	самом деле	4	9
32	того что	8	9
33	с точки	3	9
34	о том	6	9
35	так как	7	9
36	а только	3	8
37	то же	6	8
38	уже не	9	8
39	а не	19	8
40	как раз	9	8
41	тем что	2	8
42	не менее	3	7
43	с другой	6	7
44	как бы	12	7
45	не может	17	7
46	это не	5	7
47	бы в	5	7
48	так и	3	7
49	однако не	2	6
50	тогда когда	5	6
51	что такое	12	6
52	в ней	12	6
53	язык есть	2	6
54	но и	18	6
55	что же	8	6
56	все это	5	6
57	другой стороны	2	6
58	можно было	2	6
59	все эти	3	6
60	мы имеем	7	6
61	не случайно	2	6
62	еще и	8	5
63	с тем	5	5
64	что это	13	5
65	по крайней	4	5
66	к тому	3	5
67	языка как	2	5
68	крайней мере	4	5
69	но не	5	5
70	еще не	8	5
71	что не	5	5
72	всяком случае	2	5
73	и что	15	5
74	но уже	3	5
75	в виду	2	5
76	не просто	19	5
77	в той	3	5
78	не потому	6	5
79	а в	4	5
80	и его	2	5
81	в результате	3	5
82	во всяком	3	5
83	с ним	8	5
84	и с	8	5
85	к себе	4	4
86	и потому	5	4
87	на то	4	4
88	в нем	2	4
89	по существу	2	4
90	что они	6	4
91	того же	5	4
92	из них	4	4
93	это и	6	4
94	один из	3	4
95	должен быть	2	4
96	что и	3	4
97	не есть	49	4
98	тем не	3	4
99	со стороны	5	4
100	с этим	3	4
101	в самой	2	4
102	так что	5	4
103	с ними	3	4
104	в данном	5	4
105	слова и	5	4
106	нисколько не	4	3
107	если не	3	3
108	для этого	4	3
109	ясно что	8	3
110	была бы	2	3
111	то это	3	3
112	можно сказать	6	3
113	сводится к	2	3
114	в первом	2	3
115	только тогда	3	3
116	в этой	3	3
117	свою очередь	4	3
118	в свою	4	3
119	и может	2	3
120	и если	2	3
121	в сущности	4	3
122	но еще	3	3
123	и эти	2	3
124	в котором	3	3
125	оно не	3	3
126	не с	7	3
127	нам не	2	3
128	что она	15	3
129	тому что	2	3
130	в своем	6	3
131	а с	3	3
132	что оно	8	3
133	только и	2	3
134	есть лишь	2	3
135	и даже	6	3
136	должно быть	6	3
137	той же	2	3
138	должна быть	4	3
139	и здесь	4	3
140	и то	10	3
141	то мы	2	3
142	хотя и	4	3
143	даже и	4	3
144	себе в	3	3
145	в себе	14	3
146	а это	4	3
147	как это	2	3
148	в одном	2	3
149	я не	4	2
150	только к	2	2
151	и есть	26	2
152	можно ли	7	2
153	никогда не	2	2
154	из предыдущего	2	2
155	с этой	4	2
156	и все	5	2
157	но с	2	2
158	что все	2	2
159	так или	4	2
160	же есть	2	2
161	по себе	13	2
162	в собственном	2	2
163	если мы	8	2
164	в смысле	12	2
165	в то	3	2
166	для нас	2	2
167	и того	2	2
168	как и	8	2
169	и как	8	2
170	е не	2	2
171	с прочими	3	2
172	это есть	7	2
173	можно говорить	2	2
174	ли это	7	2
175	тот же	3	2
176	общения и	2	2
177	между прочим	3	2
178	в своей	5	2
179	по преимуществу	2	2
180	свое время	2	2
181	между собою	6	2
182	никак не	3	2
183	но если	8	2
184	в свое	2	2
185	относится к	5	2
186	раз к	2	2
187	и тем	3	2
188	дело не	2	2
189	себя самого	2	2
190	бы и	5	2
191	и а	2	2
192	то и	4	2
193	смысл и	9	2
194	мы говорим	5	2
195	и для	9	2
196	в разных	4	2
197	как я	4	2
198	все равно	2	2
199	в слове	2	2
200	во втором	2	2
201	должны быть	4	2
202	свидетельствует о	3	2
203	между ними	3	2
204	д и	5	2
205	что нужно	3	2
206	когда мы	6	2
207	или в	2	2
208	или иначе	4	2
209	также и	6	2
210	иное как	7	2
211	от этого	2	2
212	как с	4	2
213	чтобы быть	3	2
214	и еще	2	2
215	что я	24	2
216	нужно было	2	2
217	е в	7	2
218	но ведь	2	2
219	ли в	3	2
220	ничего не	3	2
221	но в	5	2
