N	2gram	Bakhtin_fo_1	EvropaiC
1	таким образом	11	32
2	в том	9	31
3	и в	50	24
4	том что	4	20
5	все эти	9	19
6	не может	6	18
7	то что	6	17
8	может быть	11	15
9	все же	6	15
10	точки зрения	5	13
11	в своем	4	12
12	до сих	3	12
13	сих пор	3	12
14	в этом	25	12
15	все это	4	11
16	с этим	6	11
17	отношению к	5	10
18	как бы	2	10
19	по отношению	3	10
20	во всех	6	10
21	так и	12	10
22	при этом	3	9
23	в результате	6	9
24	как и	8	9
25	того же	8	9
26	что в	5	9
27	не в	5	8
28	в самом	8	8
29	так же	6	8
30	если бы	5	8
31	и все	6	8
32	ясно что	2	8
33	мы говорили	3	8
34	с точки	2	8
35	к тому	3	7
36	но и	8	7
37	и не	14	7
38	по существу	12	7
39	того чтобы	5	7
40	для того	5	7
41	с другой	2	6
42	того что	2	6
43	и на	8	6
44	так как	6	6
45	с ним	2	6
46	еще не	5	6
47	что и	3	6
48	у них	2	6
49	только в	4	6
50	вместе с	3	6
51	именно в	3	5
52	что все	2	5
53	тому же	2	5
54	у него	6	5
55	в целом	2	5
56	и их	8	5
57	и с	4	5
58	потому что	4	5
59	его в	3	5
60	но в	10	5
61	сравнению с	2	5
62	к этому	3	5
63	и к	2	5
64	в то	9	5
65	в его	13	5
66	не только	9	5
67	по сравнению	2	5
68	быть и	2	5
69	и для	4	5
70	но все	5	5
71	между двумя	6	5
72	лишь в	6	5
73	в себе	3	5
74	далеко не	2	5
75	в которой	2	5
76	не могут	3	4
77	никогда не	2	4
78	в конце	9	4
79	и проч	4	4
80	в дальнейшем	6	4
81	хотя и	3	4
82	отношение к	2	4
83	в их	6	4
84	и то	4	4
85	всех этих	5	4
86	между собой	4	4
87	связи с	6	4
88	мы должны	2	4
89	мы уже	11	4
90	и культур	2	4
91	том же	2	4
92	он не	5	4
93	оказывается что	2	4
94	совершенно не	2	4
95	то же	11	4
96	в течение	2	4
97	если мы	2	4
98	и у	5	4
99	хотя бы	2	4
100	в таком	3	4
101	мы будем	2	3
102	же как	2	3
103	с одной	3	3
104	в нашем	2	3
105	в этих	3	3
106	одного и	5	3
107	вопрос о	2	3
108	для нас	2	3
109	в нем	24	3
110	на этой	4	3
111	в разных	5	3
112	и других	3	3
113	и по	2	3
114	а в	3	3
115	это не	6	3
116	в начале	3	3
117	в истории	2	3
118	что мы	2	3
119	и потому	3	3
120	с тем	3	3
121	можно назвать	2	3
122	но по	2	3
123	прежде всего	15	3
124	в жизни	6	3
125	и того	6	3
126	во всем	2	3
127	чем в	2	3
128	и может	2	3
129	конечно не	4	3
130	на почве	2	3
131	слагается из	2	3
132	жизнь и	4	3
133	в данном	2	3
134	в связи	5	3
135	и вообще	2	3
136	и это	4	3
137	отличие от	2	3
138	но на	4	2
139	в частности	6	2
140	себя и	3	2
141	точку зрения	2	2
142	вследствие этого	3	2
143	как мы	14	2
144	для него	2	2
145	мы и	4	2
146	же время	9	2
147	в свою	2	2
148	одной стороны	2	2
149	нет в	2	2
150	к ним	2	2
151	но для	2	2
152	в ней	4	2
153	в виду	3	2
154	в котором	4	2
155	и уже	3	2
156	с ее	6	2
157	и до	5	2
158	этот процесс	5	2
159	имеет место	3	2
160	те же	2	2
161	в самой	2	2
162	в одно	3	2
163	они не	3	2
164	во втором	2	2
165	между этими	4	2
166	и те	3	2
167	в которых	2	2
168	широком смысле	2	2
169	одно из	3	2
170	не было	7	2
171	все то	2	2
172	также и	2	2
173	во всяком	3	2
174	то есть	33	2
175	в основе	5	2
176	отнюдь не	5	2
177	друг к	2	2
178	из нее	2	2
179	в них	4	2
180	он должен	2	2
181	же что	2	2
182	тогда когда	2	2
183	вовсе не	13	2
184	одна из	2	2
185	но не	5	2
186	тех же	2	2
187	было бы	2	2
188	со своей	3	2
189	жизни и	8	2
190	никто не	2	2
191	в сущности	3	2
192	к другу	2	2
193	весьма часто	2	2
194	в процессе	4	2
195	между ними	3	2
196	совершенно иной	3	2
197	и ее	3	2
198	ту же	2	2
199	не знает	3	2
200	есть в	2	2
201	этими двумя	3	2
202	все его	3	2
