N	3gram	Vinokur_Vv_1	Komedia
1	до сих пор	5	9
2	в том что	12	9
3	в самом деле	5	6
4	для того чтобы	21	6
5	то же время	5	4
6	о том что	12	4
7	в то же	5	4
8	и в самом	3	3
9	в связи с	2	3
10	во всяком случае	3	3
11	с точки зрения	2	3
12	вместе с тем	3	3
13	то же самое	2	3
14	с одной стороны	4	3
15	по отношению к	4	3
16	тем не менее	8	3
17	и т п	5	3
18	в конце концов	2	2
19	в этом случае	6	2
20	по сравнению с	3	2
21	с другой стороны	5	2
22	в этом отношении	3	2
23	состоит в том	2	2
24	т е в	4	2
25	но все же	3	2
26	так или иначе	4	2
