N	2gram	Tiupa_Teor_1	EvropaiC
1	таким образом	3	32
2	в том	16	31
3	и в	18	24
4	том что	9	20
5	все эти	2	19
6	не может	4	18
7	то что	3	17
8	может быть	17	15
9	точки зрения	9	13
10	в своем	4	12
11	в этом	8	12
12	все это	2	11
13	между тем	5	11
14	отношению к	4	10
15	как бы	5	10
16	по отношению	4	10
17	так и	10	10
18	при этом	12	9
19	как и	4	9
20	того же	3	9
21	что в	9	9
22	не в	7	8
23	в самом	4	8
24	так же	2	8
25	если бы	3	8
26	а и	4	8
27	с точки	3	8
28	не менее	4	7
29	к тому	2	7
30	но и	9	7
31	и не	13	7
32	и что	3	7
33	из этих	3	7
34	по своей	3	7
35	или менее	2	7
36	более или	2	7
37	с другой	7	6
38	в этой	3	6
39	отличается от	2	6
40	того что	4	6
41	еще не	4	6
42	что и	2	6
43	тогда как	15	6
44	в мире	19	6
45	только в	6	6
46	вместе с	2	6
47	именно в	3	5
48	столь же	2	5
49	в целом	3	5
50	другой стороны	5	5
51	как к	2	5
52	потому что	3	5
53	его в	2	5
54	но в	9	5
55	и к	3	5
56	в то	6	5
57	по своему	2	5
58	в его	6	5
59	не только	16	5
60	не будет	2	5
61	быть и	2	5
62	и для	2	5
63	между двумя	3	5
64	лишь в	6	5
65	в себе	9	5
66	как будто	2	5
67	далеко не	2	5
68	в которой	2	5
69	не могут	2	4
70	никогда не	4	4
71	в конце	2	4
72	тем не	3	4
73	одним из	2	4
74	хотя и	3	4
75	отношение к	5	4
76	в их	2	4
77	и то	2	4
78	между собой	3	4
79	данный момент	2	4
80	иначе говоря	4	4
81	он не	3	4
82	то же	7	4
83	а с	3	4
84	если мы	2	4
85	все прочие	3	4
86	и т.д	3	4
87	в области	4	4
88	с одной	2	3
89	в нашем	4	3
90	в этих	3	3
91	одного и	3	3
92	не вполне	2	3
93	так или	4	3
94	в нем	4	3
95	данном случае	5	3
96	заключается в	2	3
97	и по	2	3
98	а в	13	3
99	это не	2	3
100	и потому	2	3
101	прежде всего	2	3
102	в жизни	2	3
103	и того	3	3
104	у нас	2	3
105	на почве	4	3
106	даже в	3	3
107	может служить	2	3
108	или иначе	5	3
109	в данном	8	3
110	и это	2	3
111	отличие от	6	3
112	свою очередь	2	2
113	в частности	16	2
114	тому что	2	2
115	сводится к	5	2
116	для него	2	2
117	же время	5	2
118	в свою	3	2
119	одной стороны	2	2
120	от себя	3	2
121	в виду	5	2
122	с ее	3	2
123	что она	2	2
124	имеет место	2	2
125	в самой	2	2
126	в одно	2	2
127	и некоторые	2	2
128	во втором	3	2
129	не следует	4	2
130	говорить о	3	2
131	то есть	12	2
132	в основе	3	2
133	только не	2	2
134	отнюдь не	3	2
135	в них	2	2
136	он должен	2	2
137	этих двух	2	2
138	вовсе не	3	2
139	то в	2	2
140	но не	9	2
141	со своей	3	2
142	никто не	2	2
143	нашем случае	2	2
144	и особенно	2	2
145	в точке	2	2
146	однако при	3	2
147	в себя	3	2
148	тем самым	4	2
149	между ними	4	2
150	и ее	3	2
151	в другом	3	2
152	не знает	3	2
153	этого слова	3	2
154	есть в	2	2
