N	2gram	Bakhtin_KF_1	Istorich
1	и в	24	22
2	мы имеем	5	19
3	в этом	14	17
4	что в	4	15
5	не только	5	14
6	но и	9	12
7	и не	26	12
8	и пр	3	11
9	может быть	45	11
10	еще не	4	10
11	но в	5	10
12	что он	2	9
13	в нем	28	9
14	что и	7	9
15	в том	6	9
16	том что	4	8
17	к этому	2	7
18	но не	12	7
19	то что	7	7
20	уже не	7	7
21	и здесь	7	7
22	там где	5	7
23	это не	10	6
24	а в	4	6
25	то же	5	6
26	а не	17	6
27	ничего не	3	6
28	если бы	8	6
29	не менее	3	5
30	тем не	2	5
31	один из	2	5
32	все же	5	5
33	он не	6	5
34	здесь мы	4	5
35	того что	3	5
36	к нему	12	5
37	могут быть	3	5
38	в этой	2	5
39	не в	12	4
40	только в	16	4
41	в свою	3	4
42	отношение к	5	4
43	для нас	4	4
44	его и	2	4
45	мы здесь	2	4
46	и его	17	4
47	и на	3	4
48	в данном	2	4
49	не может	27	4
50	тем что	3	4
51	имеем в	2	4
52	все эти	10	4
53	я не	6	3
54	и все	7	3
55	прежде всего	2	3
56	и эти	2	3
57	как и	5	3
58	и как	2	3
59	но это	6	3
60	было бы	8	3
61	в его	40	3
62	никогда не	5	3
63	и она	2	3
64	в целом	10	3
65	быть и	3	3
66	со стороны	7	3
67	с ними	3	3
68	потому что	2	3
69	однако что	2	3
70	вступает в	3	3
71	он и	2	3
72	и ее	2	3
73	о том	3	3
74	его в	5	3
75	здесь не	3	3
76	если я	2	3
77	в чем	4	3
78	не было	8	2
79	всех этих	3	2
80	с тем	2	2
81	независимо от	3	2
82	и есть	9	2
83	ко мне	6	2
84	в одном	4	2
85	в жизни	2	2
86	вовсе не	7	2
87	вопрос о	2	2
88	но конечно	3	2
89	ни в	12	2
90	целом не	2	2
91	но все	5	2
92	от него	3	2
93	как в	2	2
94	при этом	4	2
95	в качестве	2	2
96	не дает	3	2
97	ли это	2	2
98	но есть	2	2
99	совершенно не	6	2
100	себе и	3	2
101	в ней	3	2
102	его на	2	2
103	и потому	2	2
104	в котором	24	2
105	для нее	7	2
106	не имеет	5	2
107	отношению к	22	2
108	и это	12	2
109	жизни и	8	2
110	я буду	3	2
111	так и	2	2
112	по отношению	26	2
113	в своем	16	2
114	если не	2	2
115	еще более	2	2
116	на самом	3	2
117	что не	3	2
118	и для	9	2
119	и то	2	2
120	дело с	2	2
121	между тем	4	2
122	в виде	2	2
123	точки зрения	12	2
124	в другом	3	2
125	в то	3	2
126	в него	2	2
127	и действительно	6	2
