N	2gram	Propp_Russ_1	VerxiiNi
1	и в	36	26
2	таким образом	6	22
3	с тем	8	18
4	вместе с	10	15
5	в этом	12	15
6	точки зрения	3	13
7	как бы	5	12
8	в том	17	11
9	может быть	8	10
10	не только	22	10
11	и с	2	10
12	из этих	4	10
13	связи с	4	9
14	что в	19	9
15	но и	16	9
16	в области	3	9
17	так как	15	9
18	главным образом	2	8
19	но не	2	8
20	и не	6	8
21	и у	5	8
22	связанные с	3	7
23	том что	19	7
24	но все	3	7
25	из них	8	7
26	то что	6	7
27	а с	4	7
28	потому что	10	7
29	но в	2	7
30	представление о	3	6
31	к тому	4	6
32	и потому	2	6
33	несмотря на	3	6
34	что и	7	6
35	все же	5	6
36	так и	7	6
37	все это	6	6
38	все эти	2	6
39	с точки	3	6
40	мы должны	2	6
41	о том	8	6
42	и к	3	5
43	в его	2	5
44	к жизни	3	5
45	так же	3	5
46	а не	2	5
47	не имеет	6	5
48	в силу	2	5
49	и для	2	5
50	в этих	3	4
51	в нем	2	4
52	не может	4	4
53	а в	9	4
54	то же	3	4
55	в течение	5	4
56	и что	4	4
57	на этот	3	4
58	и по	8	4
59	в которых	5	4
60	во время	14	4
61	в виде	6	4
62	только в	4	4
63	то есть	3	4
64	далеко не	3	4
65	не менее	3	3
66	и другие	13	3
67	что это	3	3
68	подойти к	2	3
69	к этому	4	3
70	так что	2	3
71	и как	2	3
72	представляет собой	4	3
73	в своем	3	3
74	на западе	2	3
75	в качестве	3	3
76	к ним	3	3
77	если в	3	3
78	тем не	3	3
79	русского народа	3	3
80	когда он	2	3
81	с ней	2	3
82	в связи	4	3
83	при этом	6	3
84	уже не	6	3
85	того что	4	3
86	и те	3	3
87	в других	11	3
88	в одном	3	3
89	начиная с	3	2
90	состоит в	8	2
91	одно из	5	2
92	в них	6	2
93	только для	2	2
94	в образе	2	2
95	на все	2	2
96	так называемой	3	2
97	в свою	3	2
98	от них	3	2
99	а также	3	2
100	и здесь	2	2
101	его от	2	2
102	по существу	4	2
103	должна была	2	2
104	что именно	2	2
105	и другой	3	2
106	так например	6	2
107	с целью	2	2
108	еще не	4	2
109	и из	3	2
110	вплоть до	4	2
111	должно было	2	2
112	один из	8	2
113	не с	3	2
114	во всех	4	2
115	к другу	2	2
116	быть и	2	2
117	приводит к	3	2
118	для этого	2	2
119	в разных	3	2
120	не было	2	2
121	мы имеем	4	2
122	и на	10	2
123	в русском	4	2
124	мы можем	2	2
125	и связанные	2	2
126	тем и	2	2
127	ничего общего	2	2
128	в россии	4	2
129	между тем	7	2
