N	2gram	Losev_Dial_4	NovoeSre
1	а не	18	17
2	не может	11	16
3	и в	15	16
4	и не	30	11
5	и есть	19	10
6	что в	7	9
7	истории и	2	9
8	жизни и	4	8
9	как не	2	8
10	в том	11	8
11	не будет	2	7
12	как и	7	7
13	это есть	13	7
14	в этом	11	7
15	может быть	17	7
16	с его	5	6
17	никогда не	2	6
18	не в	8	6
19	лишь в	2	6
20	но это	4	6
21	ни в	8	6
22	в нем	5	5
23	все это	9	5
24	в жизни	5	5
25	с ее	10	5
26	в ней	5	5
27	не только	8	5
28	не менее	2	4
29	то что	16	4
30	в них	2	4
31	это не	12	4
32	и все	11	4
33	не было	2	4
34	не имеет	14	4
35	и для	5	4
36	должно быть	2	4
37	потому что	10	4
38	прежде всего	11	4
39	и мы	7	4
40	о том	5	4
41	значит что	9	4
42	и потому	3	4
43	к жизни	3	3
44	но и	4	3
45	не есть	40	3
46	должна быть	7	3
47	в своей	3	3
48	в истории	3	3
49	вопрос о	2	3
50	человека и	2	3
51	во всех	2	3
52	и пр	9	3
53	что такое	5	3
54	в ее	2	3
55	в основе	10	3
56	с тем	4	3
57	подобно тому	4	3
58	конечно не	2	3
59	как в	3	3
60	она не	4	3
61	еще не	4	3
62	тому как	4	3
63	за пределы	3	3
64	сказать что	6	3
65	не значит	2	3
66	это было	2	3
67	что все	4	2
68	я не	5	2
69	себя в	2	2
70	нем нет	2	2
71	из ее	2	2
72	вместе с	2	2
73	в природе	3	2
74	природе и	2	2
75	так и	5	2
76	что она	5	2
77	для этого	2	2
78	другой стороны	2	2
79	мир и	4	2
80	мы говорим	2	2
81	я уже	3	2
82	этом смысле	4	2
83	все эти	3	2
84	думать что	2	2
85	в одну	3	2
86	свободы и	3	2
87	быть в	5	2
88	уже не	9	2
89	нет и	2	2
90	того чтобы	5	2
91	и даже	6	2
92	хотя бы	4	2
93	я называю	3	2
94	вот почему	3	2
95	так же	4	2
96	это и	9	2
97	мы не	9	2
98	том что	10	2
99	в смысле	5	2
100	есть в	4	2
101	можно назвать	3	2
102	и с	4	2
103	и что	9	2
104	могут быть	3	2
105	с этим	3	2
106	равно как	2	2
107	и на	5	2
108	в себе	8	2
109	ведь и	2	2
110	с их	4	2
111	в то	6	2
112	как будто	2	2
113	познания и	2	2
114	и это	8	2
115	ни одна	2	2
116	как это	2	2
117	но для	2	2
118	не могли	2	2
119	хотя и	6	2
120	более не	3	2
121	но в	3	2
