N	2gram	Bakhtin_Fr_2	Russkaja
1	не может	7	22
2	и не	15	19
3	в том	3	17
4	в этом	15	17
5	и в	49	14
6	то что	6	13
7	таким образом	7	11
8	то же	7	11
9	точки зрения	6	11
10	же время	6	10
11	но и	13	10
12	в то	6	10
13	том что	4	9
14	не только	17	9
15	в себе	4	9
16	с точки	5	9
17	может быть	5	9
18	во всяком	2	9
19	прежде всего	19	8
20	того чтобы	2	8
21	как на	4	8
22	мы должны	2	7
23	о том	3	7
24	и с	6	7
25	на самом	2	6
26	что он	3	6
27	и к	4	6
28	для него	9	6
29	всяком случае	2	6
30	все это	9	6
31	в своем	5	6
32	в своих	4	6
33	жизни в	3	5
34	на то	2	5
35	и на	17	5
36	при этом	5	5
37	до сих	4	5
38	было бы	3	5
39	в своей	5	5
40	никогда не	5	5
41	в нем	9	5
42	сих пор	4	5
43	во всех	6	5
44	по существу	2	5
45	а в	4	5
46	только в	13	5
47	но не	5	4
48	что в	2	4
49	в мире	2	4
50	как и	11	4
51	все что	2	4
52	как бы	11	4
53	себе и	2	4
54	все же	7	4
55	жизни и	7	4
56	вместе с	2	4
57	в их	2	4
58	на земле	3	4
59	точку зрения	2	4
60	можно было	3	4
61	в этой	10	4
62	во всем	3	4
63	в его	18	4
64	и т.д	2	4
65	так как	6	4
66	для них	2	3
67	именно в	6	3
68	из этих	5	3
69	в конце	2	3
70	был и	3	3
71	всех этих	3	3
72	да и	3	3
73	в другом	2	3
74	лишь в	4	3
75	что они	2	3
76	в качестве	2	3
77	еще не	2	3
78	несмотря на	3	3
79	в самом	3	3
80	одной из	2	3
81	и потому	5	3
82	из них	3	3
83	вряд ли	2	3
84	не было	4	3
85	в значительной	3	3
86	что для	3	3
87	тем что	4	3
88	и во	4	3
89	связи с	2	3
90	одна из	4	3
91	место в	3	2
92	этой культуры	2	2
93	и более	4	2
94	у него	2	2
95	в меру	2	2
96	но даже	2	2
97	что только	2	2
98	не подлежит	2	2
99	это в	2	2
100	культуры и	3	2
101	ни в	3	2
102	но это	2	2
103	именно на	2	2
104	совершенно не	2	2
105	видеть в	2	2
106	и о	4	2
107	в ней	2	2
108	на этой	2	2
109	благодаря этому	4	2
110	на совершенно	2	2
111	ее в	2	2
112	целый ряд	2	2
113	отношения к	4	2
114	в течение	3	2
115	все эти	7	2
116	и вот	3	2
117	и даже	2	2
118	к нему	3	2
119	так же	2	2
120	их в	3	2
121	мы можем	2	2
122	даже и	2	2
123	мы уже	6	2
124	в начале	5	2
125	во время	12	2
126	на эту	2	2
127	в этих	4	2
128	только с	3	2
129	с ним	4	2
130	в области	4	2
131	но в	4	2
