N	3gram	Voloshinov_1	Freidism
1	с точки зрения	20	11
2	по отношению к	2	8
3	во всяком случае	2	7
4	не может быть	13	7
5	в самом деле	9	6
6	в большинстве случаев	3	5
7	и прежде всего	2	5
8	– все это	2	5
9	то же время	3	4
10	в то же	3	4
11	можно сказать что	3	4
12	с самого начала	4	3
13	бы то ни	8	3
14	в свою очередь	2	3
15	в таком случае	2	3
16	на этот вопрос	3	3
17	теперь мы должны	2	3
18	и тот же	3	3
19	и той же	2	3
20	один и тот	3	3
21	одной и той	2	3
22	для того чтобы	3	3
23	во всех областях	2	2
24	в узком смысле	2	2
25	– это и	2	2
26	в ее целом	3	2
27	то же самое	3	2
28	не могут быть	2	2
29	и не может	9	2
30	тем не менее	2	2
31	то ни было	8	2
32	в отличие от	5	2
33	в конце концов	3	2
34	это и есть	2	2
35	с объективной точки	3	2
36	в этом отношении	3	2
37	в высшей степени	3	2
38	может быть и	3	2
39	до сих пор	8	2
40	но в то	2	2
41	объективной точки зрения	5	2
