N	3gram	Vygotskiy__5	VLabPisa
1	в этом отношении	5	13
2	с другой стороны	2	8
3	не может быть	3	8
4	по отношению к	12	7
5	в зависимости от	2	5
6	можно сказать что	5	4
7	в том что	11	4
8	о том как	2	3
9	о том что	4	3
10	хотя бы в	2	3
11	вместе с тем	2	3
12	не только не	3	2
13	и в другом	2	2
14	до сих пор	3	2
15	и не может	2	2
16	таким образом в	2	2
17	этой точки зрения	4	2
18	в другом месте	4	2
19	с одной стороны	3	2
20	от того что	2	2
21	подобно тому как	4	2
22	можно было бы	3	2
23	уже по одному	4	2
24	для того чтобы	14	2
