N	2gram	Voloshinov_2	Psycholo
1	то что	4	32
2	и в	19	31
3	в том	7	30
4	то есть	2	26
5	что в	2	23
6	может быть	28	22
7	таким образом	14	20
8	при этом	9	19
9	так как	3	18
10	не может	18	17
11	как и	9	16
12	том что	10	16
13	и не	19	16
14	точки зрения	17	15
15	только в	8	14
16	а не	9	13
17	не только	13	13
18	что и	3	13
19	так же	5	12
20	если мы	6	12
21	мы не	2	12
22	в этом	15	12
23	в самом	6	11
24	могут быть	3	11
25	не в	10	11
26	на то	4	10
27	в сущности	14	10
28	того что	4	10
29	по себе	3	9
30	ни в	6	9
31	самом деле	9	9
32	никогда не	7	8
33	вместе с	2	8
34	во всяком	3	8
35	что он	4	7
36	и его	16	7
37	того чтобы	6	7
38	сказать что	4	7
39	о том	3	7
40	что это	2	6
41	вовсе не	11	6
42	зависимости от	2	6
43	одной стороны	3	6
44	до конца	2	6
45	было бы	4	6
46	если бы	11	6
47	всяком случае	2	6
48	отнюдь не	8	6
49	а в	3	6
50	для того	6	6
51	и даже	2	6
52	в его	5	6
53	формы и	2	5
54	и все	6	5
55	не является	8	5
56	в ее	3	5
57	все же	5	5
58	с одной	3	5
59	совершенно не	5	5
60	в какой	3	5
61	как бы	19	5
62	в зависимости	2	5
63	в процессе	18	5
64	и для	7	5
65	то же	16	5
66	с другой	3	5
67	в то	8	5
68	к тому	6	4
69	в котором	3	4
70	все время	2	4
71	прежде всего	7	4
72	тому что	4	4
73	столь же	3	4
74	различие между	2	4
75	в себе	4	4
76	отличие от	3	4
77	чтобы понять	2	4
78	одна из	7	4
79	мы увидим	2	4
80	у него	2	4
81	у нас	3	4
82	и о	2	4
83	в этих	3	4
84	мы никогда	2	4
85	к этому	5	4
86	и у	2	4
87	мы можем	6	4
88	этого слова	5	4
89	там где	2	4
90	между тем	6	4
91	уже в	2	3
92	как на	2	3
93	к которым	3	3
94	именно эти	2	3
95	его и	3	3
96	в своем	2	3
97	точку зрения	2	3
98	должна быть	4	3
99	вопрос о	2	3
100	в собственном	2	3
101	стороны и	2	3
102	мы знаем	2	3
103	тому же	2	3
104	не будет	3	3
105	но не	2	3
106	смысле слова	5	3
107	до сих	3	3
108	в этой	3	3
109	в слове	4	3
110	он не	3	3
111	но к	2	3
112	сих пор	3	3
113	не есть	3	3
114	жизни и	2	3
115	в своей	3	3
116	собственном смысле	2	3
117	так и	10	3
118	только на	4	3
119	в отличие	3	3
120	не было	3	3
121	что оно	3	3
122	должны быть	2	3
123	тем же	4	3
124	той же	3	3
125	в таком	7	3
126	в одной	2	3
127	с этим	3	3
128	слова в	8	3
129	может стать	2	3
130	все то	2	3
131	и это	3	3
132	но в	7	3
133	ее от	2	3
134	выражения и	4	2
135	в основе	9	2
136	развития языка	3	2
137	не существует	3	2
138	независимо от	2	2
139	и как	6	2
140	и от	3	2
141	одного и	4	2
142	в жизни	2	2
143	и здесь	5	2
144	смысле этого	4	2
145	и потому	2	2
146	что они	2	2
147	более или	2	2
148	в качестве	3	2
149	того же	5	2
150	но что	2	2
151	ли это	2	2
152	о чем	2	2
153	и их	4	2
154	и следовательно	6	2
155	далеко не	2	2
156	на почве	9	2
157	речь и	4	2
158	форму и	3	2
159	и тем	4	2
160	в нем	11	2
161	мы видели	4	2
162	но и	10	2
163	или менее	2	2
164	мысли и	3	2
165	приводит к	2	2
166	и тогда	2	2
167	как мы	15	2
168	только что	3	2
169	как раз	4	2
170	в связи	7	2
171	же самое	6	2
172	русском языке	4	2
173	на самом	7	2
174	на основе	3	2
175	к нему	5	2
176	с точки	13	2
177	от него	2	2
178	ничего не	4	2
179	в русском	4	2
180	и с	2	2
181	в каком	3	2
182	но как	2	2
183	и то	3	2
184	бы в	4	2
185	если же	2	2
186	его в	7	2
187	таком случае	3	2
188	или как	2	2
