N	2gram	Nazirov_Tv_1	RusskieA
1	и в	21	29
2	что в	12	22
3	том что	11	22
4	в том	7	22
5	как бы	17	18
6	и другие	3	14
7	может быть	5	13
8	так как	3	13
9	там же	3	12
10	как и	12	11
11	одна из	2	11
12	в этом	6	11
13	все это	10	10
14	и с	3	10
15	не только	7	10
16	о том	6	9
17	а в	6	9
18	но и	3	8
19	ее в	3	8
20	данном случае	2	7
21	как в	8	7
22	или в	2	7
23	вместе с	2	6
24	таким образом	5	6
25	при этом	7	6
26	и на	7	6
27	в данном	2	6
28	на земле	3	5
29	представление о	3	5
30	потому что	5	5
31	это не	4	5
32	к этому	2	5
33	то что	8	5
34	но не	3	5
35	и т	3	5
36	к жизни	2	5
37	не может	4	5
38	но в	7	5
39	именно в	2	4
40	и все	6	4
41	а затем	2	4
42	уже не	3	4
43	так что	2	4
44	не в	2	4
45	из них	2	4
46	так же	3	4
47	то же	13	4
48	а не	5	4
49	в виде	3	4
50	далеко не	3	4
51	в этих	2	3
52	в качестве	2	3
53	и других	3	3
54	и от	4	3
55	в году	7	3
56	для этой	2	3
57	живет в	2	3
58	до конца	2	3
59	того что	3	3
60	что она	2	3
61	но если	3	3
62	в котором	6	3
63	в отличие	2	3
64	что для	2	3
65	и по	3	3
66	но он	2	3
67	в этой	5	3
68	отличие от	2	3
69	не менее	6	2
70	это означало	2	2
71	об этом	2	2
72	могут быть	2	2
73	никогда не	3	2
74	жизни в	6	2
75	с другой	3	2
76	не столько	2	2
77	ее и	2	2
78	это в	3	2
79	прежде всего	4	2
80	не был	3	2
81	представлений о	2	2
82	что и	2	2
83	к ней	2	2
84	говорит о	3	2
85	это и	3	2
86	и как	4	2
87	одним из	4	2
88	в глаза	2	2
89	гроба и	2	2
90	на эту	4	2
91	тем не	2	2
92	в него	2	2
93	в виду	2	2
94	еще в	2	2
95	один из	4	2
96	но она	2	2
97	все же	5	2
98	в своей	4	2
99	дело не	3	2
100	в их	3	2
101	вряд ли	2	2
102	влияние на	2	2
103	из гроба	2	2
104	на самом	3	2
105	здесь мы	2	2
106	в своих	5	2
107	людей и	2	2
108	в момент	4	2
109	это время	2	2
110	в то	15	2
111	представляет собой	3	2
112	в которой	3	2
113	та же	4	2
