N	2gram	Kanaev_Sov_1	DiskursI
1	в себе	3	19
2	при этом	3	17
3	и в	7	16
4	может быть	12	16
5	как и	6	16
6	в этом	7	16
7	и не	6	15
8	а не	3	14
9	в отличие	2	12
10	отличие от	2	12
11	но в	3	11
12	не только	4	10
13	такого рода	2	9
14	не может	17	9
15	в том	4	8
16	не менее	2	7
17	прежде всего	5	7
18	в нем	3	7
19	отнюдь не	3	6
20	еще не	3	6
21	все же	3	6
22	то же	3	6
23	что в	2	5
24	в одном	3	4
25	как бы	4	4
26	с одной	2	4
27	роль в	2	4
28	можно назвать	2	4
29	точки зрения	12	4
30	в этой	3	4
31	могут быть	2	3
32	это не	4	3
33	из этих	2	3
34	и все	3	3
35	или иной	2	3
36	уже не	2	3
37	не в	3	3
38	в его	2	3
39	из двух	3	3
40	из них	4	3
41	жизни и	4	3
42	приводит к	2	3
43	все эти	5	3
44	и наконец	5	3
45	не подлежит	3	2
46	в целом	4	2
47	такой же	2	2
48	времени и	2	2
49	с точки	5	2
50	вместе с	4	2
51	что же	5	2
52	все это	3	2
53	а в	4	2
54	той же	2	2
55	в результате	6	2
56	их в	4	2
57	может иметь	2	2
58	говорить о	2	2
59	в области	3	2
