N	2gram	Berdyaev_M_1	DiskursI
1	не только	29	28
2	в том	6	23
3	а не	25	22
4	то есть	3	20
5	том что	3	19
6	может быть	30	17
7	и в	28	16
8	как и	5	16
9	в этом	20	15
10	но и	25	14
11	прежде всего	10	11
12	но не	8	11
13	и не	11	11
14	по своей	2	11
15	как в	2	10
16	в нем	13	9
17	отношению к	2	9
18	по отношению	2	9
19	не может	28	9
20	о том	2	8
21	но в	7	8
22	в основе	2	7
23	в его	9	7
24	не было	18	7
25	в себе	7	7
26	только в	6	7
27	не в	16	7
28	в своем	10	6
29	и как	2	6
30	к тому	3	5
31	как бы	2	5
32	в котором	8	5
33	в своей	15	5
34	то что	5	5
35	а в	4	5
36	в их	4	5
37	и на	6	5
38	с его	3	4
39	что в	10	4
40	в них	4	4
41	не как	4	4
42	и к	2	4
43	что он	10	4
44	уже не	4	4
45	для него	11	4
46	в истории	2	4
47	отношение к	4	4
48	лишь в	6	4
49	в которых	4	4
50	потому что	16	4
51	могут быть	2	4
52	он мог	2	3
53	это не	5	3
54	человеческого сознания	2	3
55	что и	4	3
56	в ее	3	3
57	по своему	2	3
58	в свою	2	3
59	с этим	3	3
60	в самом	11	3
61	еще в	2	3
62	один из	4	3
63	хотя бы	3	3
64	все же	2	3
65	того что	7	3
66	ведет к	6	3
67	сказать что	2	3
68	тем что	4	3
69	точки зрения	4	3
70	в то	2	3
71	также и	2	3
72	и потому	10	3
73	разного рода	2	2
74	и есть	14	2
75	никогда не	14	2
76	мысли о	2	2
77	и во	2	2
78	и все	10	2
79	к этому	2	2
80	различие между	2	2
81	самому себе	2	2
82	его как	2	2
83	на этом	3	2
84	отличается от	2	2
85	в начале	2	2
86	он ни	2	2
87	одним из	2	2
88	о нем	2	2
89	будто бы	3	2
90	не есть	9	2
91	себя в	3	2
92	когда он	3	2
93	на том	3	2
94	мысли и	2	2
95	приводит к	2	2
96	за пределы	4	2
97	в наше	2	2
98	жизни в	2	2
99	отношения к	4	2
100	уже в	4	2
101	человека в	13	2
102	и что	2	2
103	и он	12	2
104	и по	4	2
105	и его	9	2
106	в момент	3	2
107	на протяжении	2	2
108	в этой	6	2
109	в виду	2	2
110	о чем	2	2
