N	2gram	Vygotskiy__3	formyVre
1	и в	25	46
2	в этом	14	22
3	прежде всего	4	14
4	и его	2	12
5	только в	10	11
6	не только	6	11
7	в том	23	10
8	как бы	10	10
9	точки зрения	6	10
10	не в	6	9
11	мы уже	5	9
12	вместе с	14	9
13	но и	4	9
14	и не	10	9
15	и для	2	9
16	в связи	6	8
17	связи с	9	8
18	как и	15	8
19	в его	15	8
20	то же	2	8
21	того чтобы	8	8
22	для того	7	8
23	потому что	6	8
24	из них	4	8
25	в основном	6	8
26	всех этих	2	7
27	в них	2	7
28	в одном	2	7
29	может быть	13	7
30	то что	15	7
31	так и	5	7
32	и на	6	7
33	никогда не	4	6
34	и во	2	6
35	и все	4	6
36	при этом	5	6
37	как мы	8	6
38	еще не	4	6
39	его в	3	6
40	все же	6	6
41	все это	6	6
42	в основе	16	6
43	так как	12	6
44	в частности	4	5
45	в своем	4	5
46	с этим	4	5
47	связанные с	2	5
48	в то	4	5
49	но не	6	5
50	он не	4	5
51	в нем	2	5
52	что в	17	5
53	все эти	7	5
54	в смысле	4	5
55	и у	6	5
56	должно быть	2	5
57	место в	2	4
58	уже в	7	4
59	отнюдь не	4	4
60	с этой	3	4
61	из этих	4	4
62	человека и	5	4
63	с ним	4	4
64	же в	2	4
65	том что	20	4
66	так что	2	4
67	что они	10	4
68	есть и	2	4
69	с другом	5	4
70	друг с	5	4
71	в котором	3	4
72	уже говорили	5	4
73	в мире	2	4
74	и их	3	4
75	как в	9	4
76	их в	3	4
77	в себе	2	4
78	о том	5	4
79	мы будем	2	3
80	все они	2	3
81	не является	8	3
82	того же	6	3
83	к этому	3	3
84	как уже	6	3
85	с помощью	42	3
86	к тому	4	3
87	на первый	2	3
88	что он	6	3
89	и как	5	3
90	это значит	4	3
91	в качестве	12	3
92	для него	5	3
93	тот же	2	3
94	в реальном	2	3
95	имеет место	3	3
96	хотя и	2	3
97	а также	2	3
98	что и	10	3
99	слова и	6	3
100	таким образом	17	3
101	в совершенно	2	3
102	уже не	2	3
103	здесь мы	2	3
104	того что	10	3
105	и по	5	3
106	а в	4	3
107	на основе	22	3
108	в которых	3	3
109	тем что	8	3
110	в этих	2	3
111	не могли	3	3
112	на этом	3	2
113	по своему	11	2
114	вступают в	2	2
115	на котором	2	2
116	с другой	6	2
117	и других	2	2
118	эти формы	2	2
119	этого нового	2	2
120	первый план	2	2
121	по себе	7	2
122	или иной	3	2
123	очень часто	2	2
124	в отношении	6	2
125	не мог	4	2
126	именно в	5	2
127	мы видим	3	2
128	в этой	5	2
129	с тем	16	2
130	все что	2	2
131	между ними	3	2
132	смысле слова	2	2
133	было бы	10	2
134	со всеми	6	2
135	и к	5	2
136	наряду с	3	2
137	и потому	2	2
138	если в	3	2
139	один из	6	2
140	мы видели	6	2
141	в корне	2	2
142	находится в	2	2
143	не может	6	2
144	и только	2	2
145	этом отношении	3	2
146	с одной	5	2
147	связи между	5	2
148	в себя	3	2
149	тем же	4	2
150	так же	17	2
151	как на	2	2
152	каждый из	2	2
153	сами по	3	2
154	но это	5	2
155	то в	3	2
156	от этого	6	2
157	и от	2	2
158	мы имеем	4	2
159	могут быть	5	2
160	как он	3	2
161	и это	4	2
162	там где	4	2
163	как это	7	2
164	во всяком	4	2
165	значит что	4	2
