N	2gram	Bakhtin_sl_1	Otkroven
1	у него	3	22
2	и в	41	19
3	но и	16	13
4	и не	16	13
5	в этом	12	12
6	а не	15	11
7	не в	7	11
8	может быть	14	11
9	не только	16	11
10	и все	4	10
11	в нем	30	10
12	никогда не	3	9
13	не было	3	9
14	потому что	2	9
15	прежде всего	8	9
16	лишь в	4	7
17	но он	2	7
18	до конца	12	7
19	он не	3	7
20	в его	13	7
21	все это	5	6
22	как и	4	6
23	а в	6	5
24	отношение к	7	5
25	в том	3	5
26	для него	3	5
27	в самом	5	5
28	с его	4	4
29	и его	14	4
30	все эти	9	4
31	не может	14	4
32	в романах	2	4
33	к нему	5	3
34	не могут	3	3
35	в этих	2	3
36	это не	6	3
37	того что	3	3
38	для того	2	3
39	хотя бы	3	3
40	еще не	4	3
41	и от	4	3
42	могут быть	19	3
43	и ее	3	3
44	в себе	3	3
45	было бы	3	3
46	о том	3	3
47	с ним	7	3
48	как бы	12	3
49	все же	7	2
50	не есть	2	2
51	он в	5	2
52	и для	4	2
53	и там	3	2
54	в истории	3	2
55	так и	11	2
56	в своем	3	2
57	как к	2	2
58	что все	2	2
59	к этому	2	2
60	и к	5	2
61	должно быть	2	2
62	в ее	2	2
63	в которой	4	2
64	в других	3	2
65	том что	2	2
66	так что	2	2
67	в другом	2	2
68	и на	14	2
69	и то	2	2
70	что они	2	2
71	сказать что	2	2
72	и с	4	2
73	он весь	2	2
74	его в	3	2
75	в своей	7	2
76	так как	3	2
77	и этим	3	2
78	и о	2	2
79	ничего не	4	2
80	хотя и	2	2
81	но в	8	2
82	и потому	4	2
