N	2gram	Medvedev_F_3	Mirosoze
1	и в	27	46
2	в нем	15	22
3	может быть	25	21
4	в этом	18	20
5	никогда не	5	18
6	и не	30	18
7	не только	9	18
8	но и	10	15
9	не может	24	15
10	человека в	2	14
11	как и	14	13
12	не есть	4	13
13	а не	17	13
14	прежде всего	4	12
15	друг друга	5	12
16	потому что	7	12
17	в ней	5	11
18	у нас	3	11
19	но в	6	10
20	в себе	3	10
21	он был	4	9
22	не в	12	9
23	переходит в	2	8
24	но это	2	8
25	как бы	8	8
26	в своем	2	8
27	так как	9	8
28	она не	4	8
29	на земле	2	8
30	человека и	2	7
31	в этой	2	7
32	что он	6	7
33	и потому	5	7
34	как в	4	7
35	хотя бы	6	7
36	и для	6	7
37	что это	3	6
38	так же	9	6
39	того что	3	6
40	жизни и	4	6
41	то же	15	5
42	бы и	3	5
43	в отношении	2	5
44	совсем не	5	5
45	в самом	11	5
46	что она	2	5
47	те же	3	5
48	это не	3	5
49	в конце	3	5
50	и все	8	5
51	к тому	4	5
52	то что	8	5
53	в своей	6	5
54	для того	4	5
55	и его	19	5
56	в его	7	5
57	и это	2	5
58	что в	8	4
59	они и	3	4
60	тому что	3	4
61	для этого	2	4
62	до конца	4	4
63	они не	4	4
64	с его	2	4
65	в жизни	11	4
66	том что	4	4
67	должен быть	2	4
68	что и	2	4
69	так и	21	4
70	т е	32	4
71	уже не	3	4
72	того чтобы	5	4
73	у них	2	4
74	жизнь и	3	4
75	же как	3	3
76	и от	11	3
77	в каждом	5	3
78	на все	2	3
79	в такой	2	3
80	ни в	8	3
81	в том	7	3
82	лишь как	3	3
83	высшей степени	2	3
84	что они	5	3
85	смысле слова	2	3
86	менее всего	4	3
87	для чего	2	3
88	жизни в	3	3
89	принадлежат к	2	3
90	в своих	6	3
91	и на	3	3
92	сказать что	3	3
93	и с	3	3
94	о том	4	3
95	его в	7	3
96	в высшей	2	3
97	как он	2	3
98	в россии	2	3
99	к которому	2	3
100	если бы	12	3
101	в них	3	3
102	к другому	2	3
103	и во	2	3
104	это и	2	3
105	связано с	2	3
106	на почве	2	3
107	от того	2	3
108	и тогда	2	3
109	чтобы не	2	3
110	той же	3	3
111	тем что	5	3
112	только в	8	3
113	место в	10	2
114	уже в	4	2
115	сам он	2	2
116	мы еще	2	2
117	в этих	3	2
118	и мир	2	2
119	ее и	2	2
120	или иной	2	2
121	но эта	2	2
122	все время	6	2
123	да и	4	2
124	в действительности	9	2
125	он считает	2	2
126	она есть	3	2
127	но для	2	2
128	же и	4	2
129	этот процесс	3	2
130	по отношению	3	2
131	отношения к	2	2
132	лишь в	9	2
133	и те	4	2
134	увидим что	2	2
135	в основе	3	2
136	не о	3	2
137	точки зрения	16	2
138	бы в	6	2
139	между тем	7	2
140	на этом	2	2
141	почему они	2	2
142	в пределе	2	2
143	превращается в	2	2
144	то он	3	2
145	же что	2	2
146	тогда когда	4	2
147	по себе	4	2
148	то в	2	2
149	связи с	5	2
150	и что	3	2
151	мы увидим	2	2
152	не от	2	2
153	в сущности	2	2
154	во всех	3	2
155	как ее	4	2
156	еще в	3	2
157	оно не	3	2
158	с таким	2	2
159	отношению к	3	2
160	вместе с	6	2
161	ее в	3	2
162	который был	2	2
163	к самому	2	2
164	что же	5	2
165	бы не	2	2
166	россии и	2	2
167	одной и	2	2
168	и эта	3	2
169	тому как	5	2
170	от этого	2	2
171	правда в	2	2
172	подобно тому	4	2
173	сознания и	2	2
174	от его	3	2
175	души и	3	2
176	одни и	3	2
177	ничего не	2	2
