N	2gram	Berdyaev_O_1	Problemy
1	и в	19	43
2	и не	13	29
3	т е	4	26
4	может быть	11	23
5	как бы	3	22
6	не может	4	18
7	у достоевского	19	14
8	но и	13	14
9	как и	6	14
10	в этом	12	13
11	что он	3	13
12	в нем	10	12
13	не в	11	11
14	по себе	2	11
15	не только	11	11
16	прежде всего	9	10
17	и на	2	10
18	но в	2	10
19	в его	7	10
20	никогда не	9	9
21	еще не	3	9
22	он не	7	9
23	для него	5	8
24	лишь в	7	8
25	и его	4	8
26	в самом	5	7
27	то что	5	7
28	что же	2	7
29	а не	11	7
30	в другом	2	7
31	в этих	3	6
32	в том	5	6
33	и все	10	6
34	у него	22	6
35	так что	2	5
36	хотя и	2	5
37	к нему	3	5
38	все это	6	5
39	все эти	4	5
40	а в	5	5
41	и с	2	5
42	о том	3	5
43	было бы	3	5
44	и он	8	5
45	в себе	3	5
46	не могут	3	4
47	что в	4	4
48	в своем	2	4
49	в самой	9	4
50	до конца	7	4
51	и нет	2	4
52	должно быть	2	4
53	но он	7	4
54	человека в	11	4
55	так как	2	4
56	с его	4	4
57	в своей	2	4
58	достоевского в	3	4
59	героев достоевского	2	4
60	в человеке	9	3
61	это не	3	3
62	он сам	4	3
63	достоевского не	4	3
64	он был	8	3
65	для достоевского	5	3
66	его в	2	3
67	художественном творчестве	2	3
68	с ним	3	3
69	в романах	4	3
70	в единстве	2	3
71	и к	2	3
72	когда он	3	3
73	что и	2	3
74	все же	2	3
75	него в	5	3
76	так и	2	3
77	достоевского но	2	3
78	и для	2	3
79	ничего не	2	3
80	тем что	2	3
81	могут быть	3	3
82	и ее	3	3
83	и этим	2	3
84	уже в	2	2
85	романах достоевского	3	2
86	что у	2	2
87	и душа	2	2
88	мысли и	3	2
89	человека и	10	2
90	вопрос о	10	2
91	достоевского он	7	2
92	своей жизни	2	2
93	него не	2	2
94	из подполья	11	2
95	и очень	2	2
96	и мысли	4	2
97	отношение к	5	2
98	достоевского и	5	2
99	образ человека	2	2
100	того что	3	2
101	в своих	3	2
102	сказать что	2	2
103	человек и	4	2
104	произведений достоевского	2	2
105	достоевский не	4	2
106	достоевского нет	2	2
107	ведь это	2	2
108	ивана карамазова	7	2
109	и о	2	2
110	которую он	2	2
111	его мысли	4	2
112	не есть	2	2
113	ее в	2	2
114	том что	2	2
115	что не	4	2
116	хотя бы	3	2
117	и то	2	2
118	в творчестве	5	2
