N	2gram	Berdyaev_V_1	Morfolog
1	и т	2	49
2	т д	2	47
3	в этих	3	16
4	могут быть	2	15
5	и в	16	13
6	в этом	4	13
7	так как	9	12
8	прежде всего	2	9
9	так и	4	9
10	и не	20	9
11	а не	7	9
12	что и	3	8
13	это не	2	6
14	не могут	2	6
15	в том	3	6
16	но не	2	6
17	в форме	2	6
18	а в	2	6
19	в образе	4	5
20	вслед за	2	5
21	во всех	3	5
22	как бы	5	5
23	один из	2	5
24	то что	9	5
25	потому что	4	5
26	мы не	2	5
27	что в	3	4
28	не только	2	4
29	то это	3	4
30	как и	4	4
31	хотя и	5	4
32	тем что	2	4
33	в последнем	2	3
34	том что	2	3
35	но это	3	3
36	что они	7	3
37	того чтобы	2	3
38	ни в	3	3
39	но и	5	3
40	к чему	3	3
41	и для	3	3
42	но в	3	3
43	с тем	2	2
44	его и	2	2
45	и за	2	2
46	хотя бы	3	2
47	что он	4	2
48	не с	2	2
49	только в	2	2
50	от него	2	2
51	они и	2	2
52	для него	2	2
53	чтобы овладеть	2	2
54	оно не	3	2
55	и тогда	2	2
56	а с	2	2
57	все эти	3	2
58	и что	3	2
59	того что	5	2
60	уже не	2	2
61	не имеет	3	2
62	можно было	2	2
63	является в	2	2
64	самого себя	2	2
65	что мы	4	2
66	одна из	2	2
