N	2gram	Berdyaev_N_1	Poddanst
1	не только	5	17
2	и в	16	14
3	и не	11	12
4	в этом	7	10
5	в том	8	9
6	но в	2	9
7	хотя бы	2	8
8	в то	2	7
9	быть может	4	6
10	но и	3	6
11	в судьбах	2	6
12	в ней	5	6
13	в смысле	2	6
14	xix века	5	6
15	с другой	3	5
16	не в	6	5
17	и пр	3	5
18	может быть	7	5
19	то что	4	4
20	что в	9	4
21	не может	16	4
22	и к	5	4
23	а в	2	4
24	том что	2	4
25	на путях	2	4
26	и потому	4	4
27	в нем	5	3
28	с тем	3	3
29	в россии	3	3
30	это не	4	3
31	с одной	2	3
32	прежде всего	4	3
33	мы не	2	3
34	но не	2	3
35	могут быть	2	3
36	в себе	2	3
37	одной стороны	2	3
38	наряду с	3	3
39	потому что	4	3
40	хотя и	2	3
41	не менее	4	2
42	в мире	3	2
43	не к	2	2
44	и есть	10	2
45	во всех	3	2
46	в них	4	2
47	все это	5	2
48	с этим	2	2
49	в жизни	5	2
50	думать что	2	2
51	а не	17	2
52	должно быть	4	2
53	в ее	3	2
54	духа и	3	2
55	xix век	2	2
56	в русском	2	2
57	есть в	2	2
58	одна из	2	2
59	не было	4	2
60	русской революции	2	2
61	и мы	4	2
62	и это	2	2
63	культуры в	5	2
64	и с	2	2
65	помнить что	2	2
