N	2gram	Tiupa_Anal_2	Stilisti
1	и в	16	42
2	как бы	10	27
3	не только	16	27
4	и т.п	8	24
5	прежде всего	3	22
6	и т.д	3	20
7	внутренней речи	4	18
8	но и	12	15
9	то же	4	15
10	и не	12	14
11	может быть	6	12
12	не может	4	12
13	точки зрения	4	11
14	как и	14	11
15	отнюдь не	8	10
16	как мы	3	10
17	в этом	18	10
18	при этом	10	9
19	в то	2	9
20	то что	7	9
21	таким образом	2	8
22	тем самым	4	8
23	в себе	7	8
24	никогда не	3	7
25	же время	2	7
26	и тем	4	7
27	и на	6	7
28	было бы	3	7
29	а не	10	7
30	и его	4	7
31	только в	4	7
32	ничего не	9	7
33	или иной	3	6
34	не в	4	6
35	в этой	9	6
36	на его	3	6
37	в конце	4	6
38	во всех	4	6
39	так и	15	6
40	речи и	2	6
41	в нашем	3	5
42	и является	4	5
43	и их	2	5
44	те же	2	5
45	а в	3	5
46	того или	3	5
47	как это	6	5
48	в сознании	4	5
49	или иного	3	5
50	в его	2	5
51	вместе с	2	5
52	с точки	2	5
53	той же	2	5
54	можно сказать	4	4
55	к тому	7	4
56	о своей	2	4
57	в качестве	11	4
58	в самом	6	4
59	той или	3	4
60	один из	2	4
61	в словах	3	4
62	все это	4	4
63	языка и	2	4
64	того что	2	4
65	так же	2	4
66	о том	7	4
67	его в	2	4
68	бы в	3	4
69	но в	6	4
70	если бы	3	4
71	и к	5	4
72	себя в	2	4
73	всего в	2	4
74	на него	2	4
75	к своему	2	4
76	уже не	4	4
77	можно было	3	4
78	и то	3	4
79	то есть	9	4
80	этом случае	4	3
81	не мог	3	3
82	хотя и	4	3
83	в котором	2	3
84	в целом	8	3
85	из них	3	3
86	во второй	4	3
87	лишь в	9	3
88	и даже	9	3
89	не так	4	3
90	сказать что	2	3
91	вследствие этого	2	3
92	и все	3	3
93	в одном	2	3
94	этого слова	3	3
95	том что	12	3
96	еще не	2	3
97	тех или	2	3
98	что и	3	3
99	отношения к	2	3
100	только на	3	3
101	и слово	2	3
102	и для	2	3
103	высказывания и	2	3
104	роль в	2	3
105	не знает	3	3
106	ответ на	3	3
107	художественного высказывания	2	2
108	место в	3	2
109	в частности	16	2
110	или даже	2	2
111	как уже	3	2
112	литературное произведение	3	2
113	в мире	6	2
114	в том	12	2
115	тому же	4	2
116	для него	4	2
117	в пределах	9	2
118	и сам	3	2
119	несмотря на	3	2
120	значительной степени	2	2
121	не с	4	2
122	в этих	2	2
123	в первой	3	2
124	в нас	2	2
125	этом отношении	3	2
126	но эта	2	2
127	высказывания в	3	2
128	мы имеем	3	2
129	я и	3	2
130	для всех	2	2
131	к этому	2	2
132	или иных	2	2
133	должна была	2	2
134	представляет собой	8	2
135	но не	4	2
136	одной из	3	2
137	не есть	2	2
138	в своей	2	2
139	как в	4	2
140	ли не	2	2
141	из трех	3	2
142	в значительной	2	2
143	и он	2	2
144	с ним	2	2
145	или в	3	2
146	между двумя	4	2
147	тем что	3	2
