N	2gram	Ircho_Kome_2	Poddanst
1	не только	7	17
2	и в	26	14
3	и не	14	12
4	в этом	10	10
5	то же	3	9
6	в том	11	9
7	в качестве	5	9
8	но в	3	9
9	хотя бы	2	8
10	же время	3	7
11	в то	6	7
12	только в	4	7
13	но и	10	6
14	в ней	3	6
15	было бы	8	6
16	с другой	2	5
17	не в	2	5
18	может быть	11	5
19	же в	4	4
20	в котором	3	4
21	то что	6	4
22	что в	9	4
23	если бы	9	4
24	в своем	6	4
25	не может	3	4
26	и к	2	4
27	а в	3	4
28	том что	9	4
29	на пути	2	4
30	и если	2	4
31	как бы	2	4
32	в нем	6	3
33	и т	2	3
34	с тем	5	3
35	столь же	9	3
36	это не	2	3
37	с одной	2	3
38	прежде всего	4	3
39	для того	5	3
40	мы не	2	3
41	с ними	2	3
42	между тем	4	3
43	но не	3	3
44	точки зрения	4	3
45	тот же	2	3
46	одной стороны	2	3
47	наряду с	6	3
48	вслед за	2	3
49	потому что	6	3
50	хотя и	4	3
51	не менее	4	2
52	ii в	4	2
53	том числе	3	2
54	в мире	2	2
55	и есть	2	2
56	во всех	3	2
57	в частности	4	2
58	отнюдь не	2	2
59	iii в	6	2
60	друг другу	3	2
61	со стороны	2	2
62	в них	4	2
63	в последние	4	2
64	все это	3	2
65	с этим	5	2
66	еще более	2	2
67	одних и	2	2
68	для нас	3	2
69	в ее	2	2
70	говорить о	2	2
71	если в	2	2
72	одна из	2	2
73	в силу	2	2
74	теперь в	2	2
75	г и	5	2
76	не было	3	2
77	в начале	4	2
78	из них	7	2
79	более чем	4	2
80	например в	3	2
81	и это	2	2
82	да и	3	2
83	что из	2	2
84	в его	4	2
85	и с	5	2
