N	2gram	Propp_Russ_1	Analitik
1	тогда как	2	19
2	в этом	12	18
3	в частности	2	16
4	и в	36	16
5	не только	22	16
6	так и	7	15
7	как и	10	14
8	в том	17	12
9	своего рода	3	12
10	но и	16	12
11	и не	6	12
12	том что	19	12
13	в качестве	3	11
14	могут быть	2	10
15	как бы	5	10
16	при этом	6	10
17	а не	2	10
18	ничего не	3	9
19	то есть	3	9
20	отнюдь не	2	8
21	состоит в	8	8
22	в целом	2	8
23	не случайно	2	8
24	представляет собой	4	8
25	к тому	4	7
26	то что	6	7
27	о том	8	7
28	а также	3	7
29	и на	10	6
30	может быть	8	6
31	как это	8	6
32	но в	2	6
33	и к	3	5
34	на себя	2	5
35	не менее	3	4
36	в своем	3	4
37	в поле	3	4
38	у него	2	4
39	этом случае	5	4
40	уже не	6	4
41	но не	2	4
42	как правило	3	4
43	в один	2	4
44	имеет место	2	4
45	не с	3	4
46	во всех	4	4
47	как в	5	4
48	все это	6	4
49	не может	4	4
50	на этом	3	4
51	то же	3	4
52	хотя и	2	4
53	между двумя	2	4
54	точки зрения	3	4
55	только в	4	4
56	борьбы с	2	3
57	в нашем	2	3
58	как уже	4	3
59	этого слова	3	3
60	что на	4	3
61	тем не	3	3
62	его от	2	3
63	так что	2	3
64	несмотря на	3	3
65	мы имеем	4	3
66	или в	2	3
67	что и	7	3
68	из них	8	3
69	в их	4	3
70	приводит к	3	3
71	только на	3	3
72	а в	9	3
73	как мы	10	3
74	с ними	5	3
75	тем что	4	3
76	как будто	5	3
77	того что	4	2
78	он же	3	2
79	в одном	3	2
80	к этому	4	2
81	его как	2	2
82	он был	2	2
83	по существу	4	2
84	должна была	2	2
85	что в	19	2
86	так например	6	2
87	она не	2	2
88	еще не	4	2
89	о чем	3	2
90	нас к	2	2
91	еще в	4	2
92	один из	8	2
93	на этой	2	2
94	и их	4	2
95	вместе с	10	2
96	что она	2	2
97	таким образом	6	2
98	т е	17	2
99	однако как	2	2
100	на этот	3	2
101	не имеет	6	2
102	и для	2	2
103	с точки	3	2
104	и другими	2	2
105	так же	3	2
106	в окно	2	2
107	и до	2	2
108	между тем	7	2
109	одно из	5	2
110	и м	14	2
111	в его	2	2
112	представляют собой	7	2
113	в этих	3	2
114	с ним	2	2
115	же не	2	2
