N	2gram	Medvedev_F_3	Problemy
1	и в	27	43
2	и не	30	29
3	т е	32	26
4	может быть	25	23
5	как бы	8	22
6	не может	24	18
7	в пределах	8	16
8	но и	10	14
9	как и	14	14
10	и т	11	13
11	точки зрения	16	13
12	в этом	18	13
13	что он	6	13
14	в нем	15	12
15	слова и	4	12
16	в каждом	5	11
17	не в	12	11
18	по себе	4	11
19	не только	9	11
20	прежде всего	4	10
21	и на	3	10
22	но в	6	10
23	в его	7	10
24	как мы	8	10
25	никогда не	5	9
26	в большинстве	4	9
27	пределах одного	2	9
28	еще не	6	9
29	в сущности	2	9
30	т п	5	9
31	лишь в	9	8
32	большинстве случаев	5	8
33	то же	15	8
34	с точки	14	8
35	и его	19	8
36	слово в	2	8
37	в него	3	7
38	в самом	11	7
39	в то	7	7
40	то что	8	7
41	что же	5	7
42	а не	17	7
43	в этих	3	6
44	в том	7	6
45	при этом	8	6
46	в котором	2	6
47	и все	8	6
48	не как	2	6
49	о нем	3	6
50	здесь не	2	6
51	так сказать	5	6
52	да и	4	5
53	же время	7	5
54	нам кажется	2	5
55	все это	7	5
56	по отношению	3	5
57	таким образом	18	5
58	все эти	6	5
59	и с	3	5
60	но ведь	4	5
61	бы в	6	5
62	а что	3	5
63	к другому	2	5
64	на фоне	3	5
65	вовсе не	28	5
66	о том	4	5
67	но не	5	5
68	слов и	4	5
69	было бы	6	5
70	мы увидим	2	5
71	никак не	3	5
72	и что	3	5
73	отношению к	3	5
74	в той	3	5
75	самом деле	16	5
76	в слове	4	5
77	в себе	3	5
78	героя и	2	5
79	не могут	10	4
80	что в	8	4
81	в своем	2	4
82	с другой	6	4
83	к тому	4	4
84	в самой	2	4
85	до конца	4	4
86	но это	2	4
87	вот как	2	4
88	слово как	3	4
89	т д	6	4
90	в направлении	5	4
91	в результате	5	4
92	их в	3	4
93	же и	4	4
94	человека в	2	4
95	в произведении	3	4
96	так как	9	4
97	так чтобы	2	4
98	с его	2	4
99	в них	3	4
100	из одного	2	4
101	как его	9	4
102	более того	6	4
103	совершенно не	7	4
104	в своей	6	4
105	если же	5	4
106	во всех	3	4
107	не на	3	4
108	в отличие	2	4
109	там где	7	4
110	между ними	15	4
111	мы не	4	4
112	как раз	8	4
113	только в	8	4
114	может стать	3	4
115	установка на	4	4
116	и это	2	4
117	отличие от	2	4
118	не менее	7	3
119	должна быть	3	3
120	в отношении	2	3
121	это не	3	3
122	в одной	5	3
123	или иной	2	3
124	он был	4	3
125	такой же	2	3
126	в последнем	2	3
127	в формах	2	3
128	но для	2	3
129	и следовательно	3	3
130	в виду	3	3
131	со всею	2	3
132	и со	2	3
133	и их	5	3
134	и только	2	3
135	и даже	2	3
136	героя в	3	3
137	он и	3	3
138	его в	7	3
139	в художественном	5	3
140	между тем	7	3
141	в жизни	11	3
142	обойтись без	2	3
143	но при	2	3
144	сознания и	2	3
145	если бы	12	3
146	в единстве	5	3
147	стороны и	2	3
148	в романе	4	3
149	того же	3	3
150	она не	4	3
151	кажется что	2	3
152	мы уже	3	3
153	в конкретном	4	3
154	за пределы	2	3
155	даже в	2	3
156	что и	2	3
157	все же	6	3
158	так и	21	3
159	к самому	2	3
160	только на	4	3
161	уже не	3	3
162	другой стороны	5	3
163	и для	6	3
164	той же	3	3
165	ничего не	2	3
166	слова как	2	3
167	тем что	5	3
168	могут быть	4	3
169	и ее	6	3
170	в эту	2	3
171	он является	2	2
172	уже в	4	2
173	данной социальной	6	2
174	в сторону	2	2
175	его и	3	2
176	материал в	4	2
177	но так	2	2
178	из этих	2	2
179	в конце	3	2
180	переходит в	2	2
181	человека и	2	2
182	была бы	2	2
183	тем не	2	2
184	для нас	3	2
185	ни в	8	2
186	и как	4	2
187	мы и	3	2
188	лишь как	3	2
189	конкретного высказывания	3	2
190	художественного замысла	2	2
191	художественного творчества	2	2
192	что это	3	2
193	и очень	2	2
194	и является	4	2
195	ту же	2	2
196	и др	2	2
197	в целом	4	2
198	для чего	2	2
199	отличается от	2	2
200	одной плоскости	3	2
201	для этого	2	2
202	отношения к	2	2
203	но эта	2	2
204	того что	3	2
205	так же	9	2
206	чтобы не	2	2
207	в своих	6	2
208	от одного	2	2
209	в которых	3	2
210	сказать что	3	2
211	из них	2	2
212	как он	2	2
213	во всяком	6	2
214	произведения как	6	2
215	ни было	5	2
216	в плоскости	5	2
217	между собой	4	2
218	и всякое	2	2
219	превращается в	2	2
220	в такой	2	2
221	раз и	3	2
222	этом смысле	2	2
223	бы ни	4	2
224	у нас	3	2
225	одна из	2	2
226	конечно не	4	2
227	конце концов	2	2
228	этого слова	2	2
229	на почве	2	2
230	не есть	4	2
231	и пр	15	2
232	дело в	2	2
233	в процессе	15	2
234	внутренней речи	2	2
235	ее в	3	2
236	бы и	3	2
237	как в	4	2
238	входит в	8	2
239	если мы	7	2
240	и сами	2	2
241	том что	4	2
242	и эта	3	2
243	тем же	7	2
244	хотя бы	6	2
245	высказывания и	5	2
246	в таком	2	2
247	что этот	2	2
248	мы можем	4	2
249	в поэзии	3	2
250	бы не	2	2
