N	2gram	Tiupa_Disk_1	Istorich
1	что он	4	24
2	в сказке	3	21
3	не только	28	18
4	может быть	17	17
5	никогда не	2	15
6	и в	16	15
7	мы имеем	2	15
8	но и	14	14
9	что в	4	12
10	а в	5	12
11	то что	5	12
12	об этом	2	11
13	и не	11	11
14	в этом	15	11
15	то же	7	10
16	еще не	14	9
17	все же	3	9
18	в другом	2	9
19	потому что	4	9
20	связи с	4	8
21	один из	3	8
22	в сказках	2	8
23	том что	19	7
24	в нем	9	7
25	таким образом	3	7
26	не в	7	7
27	в его	7	6
28	как бы	5	6
29	что и	3	6
30	и что	2	6
31	в том	23	6
32	только в	7	6
33	но в	8	6
34	и есть	2	5
35	с этим	3	5
36	прежде всего	11	5
37	в одном	2	5
38	к тому	5	5
39	как в	10	5
40	в котором	5	5
41	так и	8	5
42	не может	9	5
43	а не	22	5
44	представления о	2	5
45	представляет собой	17	5
46	к которому	2	5
47	с одной	9	4
48	и др	2	4
49	но они	2	4
50	в этой	2	4
51	в одной	3	4
52	при этом	13	4
53	одной из	4	4
54	или на	3	4
55	о нем	2	4
56	дело не	2	4
57	они не	2	4
58	тем что	3	4
59	и на	5	4
60	в себе	7	4
61	в качестве	34	3
62	и его	2	3
63	одной стороны	9	3
64	по мере	2	3
65	о том	8	3
66	отношению к	9	3
67	когда он	2	3
68	в их	5	3
69	по отношению	9	3
70	хотя в	2	3
71	в себя	5	3
72	того что	3	3
73	роль в	7	3
74	тому как	3	3
75	подобно тому	2	3
76	уже в	2	2
77	зависит от	2	2
78	не было	7	2
79	могут быть	4	2
80	перед нами	3	2
81	с другой	10	2
82	это не	3	2
83	к себе	2	2
84	в тех	2	2
85	именно в	3	2
86	как и	16	2
87	в силу	5	2
88	но не	11	2
89	могла бы	2	2
90	здесь в	2	2
91	например в	2	2
92	на его	4	2
93	в сущности	2	2
94	а также	8	2
95	хотя бы	3	2
96	с ее	2	2
97	из них	3	2
98	во всех	5	2
99	можно усмотреть	2	2
100	приводит к	2	2
101	другой стороны	3	2
102	а с	5	2
103	человека в	2	2
104	и герой	2	2
105	и по	2	2
106	или в	2	2
107	в которых	4	2
108	сказать что	3	2
109	состоит в	9	2
110	и ее	2	2
111	слова в	2	2
112	будто бы	2	2
113	так сказать	2	2
114	в особенности	4	2
115	заметить что	2	2
116	тому же	5	2
117	в виду	2	2
