N	2gram	Tiupa_Lite_3	VeschiIm
1	не может	8	33
2	не только	14	31
3	может быть	12	29
4	и не	22	28
5	и в	16	26
6	то что	12	24
7	а не	12	20
8	что я	5	16
9	только в	7	14
10	того что	9	13
11	по себе	2	13
12	было бы	2	12
13	но и	14	12
14	все же	2	12
15	и ее	2	12
16	а и	2	11
17	то же	9	10
18	уже не	3	10
19	как бы	8	10
20	потому что	3	10
21	в том	12	9
22	в самом	3	9
23	бы то	2	9
24	и с	2	9
25	ни было	2	9
26	прежде всего	3	9
27	то ни	2	9
28	что не	2	9
29	еще и	2	9
30	себя и	2	8
31	на то	2	8
32	с ее	3	8
33	в себе	6	8
34	совершенно не	3	7
35	в то	9	7
36	его в	2	7
37	том что	8	7
38	себя в	7	7
39	как раз	2	7
40	в этом	14	7
41	и как	3	6
42	что в	2	6
43	для него	2	6
44	жизни и	3	6
45	ни с	2	6
46	со стороны	7	6
47	и только	2	6
48	должно быть	4	6
49	точки зрения	7	6
50	но в	3	6
51	бы и	3	6
52	быть только	2	6
53	не менее	2	5
54	это не	5	5
55	с этой	2	5
56	не в	10	5
57	еще не	6	5
58	а в	5	5
59	если бы	2	5
60	отнюдь не	3	5
61	в свою	2	5
62	в ее	5	5
63	у нас	2	5
64	но не	4	5
65	того же	2	5
66	для себя	2	5
67	и для	4	5
68	на себя	2	5
69	я не	2	4
70	с другой	6	4
71	же время	7	4
72	из них	4	4
73	быть не	2	4
74	и даже	2	4
75	о том	6	4
76	то это	2	4
77	как и	5	4
78	так чтобы	2	4
79	во всех	2	4
80	и потому	2	4
81	однако не	3	4
82	оно не	2	4
83	что и	2	4
84	с точки	3	4
85	в данном	4	4
86	тем что	2	4
87	вещей в	2	3
88	никогда не	4	3
89	вопрос о	2	3
90	можно сказать	2	3
91	к тому	6	3
92	несмотря на	2	3
93	как о	2	3
94	и сам	2	3
95	в нем	2	3
96	отношение к	2	3
97	отношения к	3	3
98	к себе	8	3
99	в одном	4	3
100	в жизни	8	3
101	один из	2	3
102	что он	5	3
103	в своей	7	3
104	вместе с	5	3
105	так и	9	3
106	и тогда	2	3
107	из того	2	3
108	самом деле	3	3
109	того чтобы	2	3
110	тому как	3	3
111	подобно тому	2	3
112	я в	7	3
113	если это	2	3
114	в основе	5	3
115	то она	2	2
116	в частности	11	2
117	что ему	2	2
118	и если	4	2
119	так или	2	2
120	и тем	3	2
121	в первой	2	2
122	данном случае	4	2
123	и вот	2	2
124	в слове	3	2
125	во втором	2	2
126	так же	2	2
127	в своих	2	2
128	какого бы	2	2
129	а так	2	2
130	в первом	2	2
131	как это	3	2
132	то есть	5	2
133	ни к	3	2
134	с которой	2	2
135	о которой	2	2
136	о чем	3	2
137	жизни в	4	2
138	не с	2	2
139	а затем	3	2
140	а я	3	2
141	то в	3	2
142	в качестве	5	2
143	но еще	2	2
144	но уже	3	2
145	когда он	2	2
146	как в	5	2
147	тогда как	17	2
148	если не	2	2
149	не я	2	2
150	как мы	2	2
151	для такого	2	2
152	для того	2	2
153	и его	6	2
154	той же	3	2
155	или иначе	2	2
156	не случайно	3	2
