N	2gram	Nazirov_Tv_1	RusskieA
1	и в	21	36
2	не только	7	22
3	что в	12	19
4	том что	11	19
5	в том	7	17
6	но и	3	16
7	так как	3	15
8	и другие	3	13
9	в этом	6	12
10	это не	4	10
11	как и	12	10
12	и т	3	10
13	вместе с	2	10
14	и на	7	10
15	потому что	5	10
16	об этом	2	9
17	а в	6	9
18	из них	2	8
19	может быть	5	8
20	один из	4	8
21	и по	3	8
22	о том	6	8
23	что и	2	7
24	так и	2	7
25	и других	3	7
26	и не	7	6
27	при этом	7	6
28	уже не	3	6
29	таким образом	5	6
30	все это	10	6
31	в виде	3	6
32	то что	8	6
33	все же	5	5
34	как будто	5	5
35	как бы	17	5
36	и у	2	5
37	как в	8	5
38	там же	3	5
39	к этому	2	4
40	к тому	2	4
41	представляет собой	3	4
42	одна из	2	4
43	еще в	2	4
44	в их	3	4
45	в россии	3	4
46	не может	4	4
47	того что	3	4
48	но это	5	4
49	только в	5	4
50	не менее	6	3
51	к жизни	2	3
52	в этих	2	3
53	в качестве	2	3
54	в своем	4	3
55	представление о	3	3
56	в свою	7	3
57	тем не	2	3
58	только на	2	3
59	в основном	4	3
60	если в	2	3
61	своего рода	4	3
62	приводит к	2	3
63	то же	13	3
64	так же	3	3
65	настоящее время	2	3
66	то есть	12	3
67	далеко не	3	3
68	в частности	2	2
69	могут быть	2	2
70	не означает	2	2
71	та же	4	2
72	в каждом	3	2
73	н г	2	2
74	в нем	3	2
75	у него	7	2
76	в в	2	2
77	в жизни	2	2
78	так что	2	2
79	и как	4	2
80	в дальнейшем	3	2
81	такой же	2	2
82	но не	3	2
83	до конца	2	2
84	отнюдь не	5	2
85	когда он	2	2
86	в ней	2	2
87	в его	13	2
88	и с	3	2
89	в целом	4	2
90	его как	2	2
91	значит что	2	2
92	но она	2	2
93	что она	2	2
94	на самом	3	2
95	в году	7	2
96	а не	5	2
97	с ним	3	2
98	или в	2	2
99	в своих	5	2
100	не случайно	4	2
101	хотя и	3	2
102	к ней	2	2
103	это время	2	2
104	но в	7	2
105	в один	2	2
