N	2gram	Berdyaev_O_1	Komedia
1	и в	19	22
2	и не	13	21
3	т е	4	16
4	том что	2	13
5	в том	5	12
6	так как	2	11
7	потому что	9	10
8	в самом	5	9
9	в своем	2	8
10	что он	3	8
11	к ней	2	8
12	в его	7	8
13	что и	2	8
14	в этом	12	8
15	о том	3	8
16	его в	2	8
17	а в	5	7
18	к этому	2	6
19	еще не	3	6
20	для того	3	6
21	может быть	11	6
22	того чтобы	4	6
23	так что	2	6
24	и его	4	6
25	что в	4	5
26	прежде всего	9	5
27	хотя и	2	5
28	не только	11	5
29	в своей	2	5
30	отношение к	5	5
31	все это	6	5
32	он не	7	5
33	тем что	2	5
34	к нему	3	5
35	с ним	3	5
36	но в	2	5
37	с тем	2	4
38	должен был	2	4
39	у него	22	4
40	сразу же	2	4
41	он был	8	4
42	все же	2	4
43	не в	11	4
44	до конца	7	4
45	то что	5	4
46	когда он	3	4
47	но и	13	4
48	а не	11	4
49	и для	2	4
50	в себе	3	4
51	так и	2	4
52	хотя бы	3	4
53	и с	2	4
54	с его	4	3
55	никогда не	9	3
56	в нем	10	3
57	и к	2	3
58	в ее	2	3
59	как и	6	3
60	в этой	5	3
61	чем в	2	3
62	все что	3	3
63	было бы	3	3
64	как бы	3	3
65	и мысли	4	3
66	не может	4	3
67	что не	4	3
68	не имеет	2	3
69	в других	2	3
70	любовь к	2	3
71	и этим	2	3
72	в которой	2	3
73	ничего не	2	3
74	уже в	2	2
75	это не	3	2
76	и все	10	2
77	человека и	10	2
78	не могут	3	2
79	о его	5	2
80	о которой	2	2
81	что они	2	2
82	к человеку	9	2
83	и любовь	2	2
84	и о	2	2
85	которую он	2	2
86	о любви	2	2
87	и он	8	2
88	все еще	2	2
89	его не	2	2
90	не было	9	2
91	человека в	11	2
92	что для	2	2
93	в своих	3	2
94	и на	2	2
95	и ее	3	2
96	в другом	2	2
97	нет ничего	7	2
98	к этой	2	2
