N	2gram	Vygotskiy__2	Stilisti
1	и в	15	42
2	как бы	7	27
3	не только	15	27
4	и т.п	7	24
5	прежде всего	4	22
6	и т.д	12	20
7	внутренней речи	5	18
8	хотя бы	4	17
9	но и	10	15
10	то же	5	15
11	и не	7	14
12	может быть	9	12
13	не может	9	12
14	точки зрения	26	11
15	как и	6	11
16	мы уже	6	11
17	и как	2	10
18	что мы	9	10
19	мы должны	6	10
20	отнюдь не	2	10
21	как мы	6	10
22	в этом	19	10
23	при этом	3	9
24	общественной жизни	2	9
25	то что	20	9
26	для того	10	9
27	мы не	10	9
28	все же	4	8
29	таким образом	14	8
30	что же	2	8
31	тем самым	3	8
32	в себе	2	8
33	и это	3	8
34	никогда не	8	7
35	зависимости от	6	7
36	и тем	2	7
37	потому что	7	7
38	так как	4	7
39	с его	4	7
40	в зависимости	6	7
41	было бы	10	7
42	а не	3	7
43	того чтобы	12	7
44	и его	4	7
45	мы можем	10	7
46	только в	4	7
47	в которой	4	7
48	ничего не	3	7
49	точку зрения	6	6
50	или иной	2	6
51	мы будем	3	6
52	не в	8	6
53	в этой	6	6
54	но ведь	2	6
55	во всех	2	6
56	в процессе	11	6
57	так и	8	6
58	речи и	15	6
59	или как	2	6
60	уже в	5	5
61	независимо от	4	5
62	своей жизни	2	5
63	и той	2	5
64	не является	9	5
65	мы видели	6	5
66	и их	5	5
67	те же	3	5
68	с помощью	5	5
69	а в	4	5
70	и с	4	5
71	же самое	2	5
72	как это	6	5
73	в его	2	5
74	вместе с	6	5
75	т.д и	2	5
76	с точки	18	5
77	той же	2	5
78	все время	3	4
79	что это	6	4
80	его внутренней	2	4
81	необходимым условием	2	4
82	что именно	3	4
83	можно сказать	2	4
84	к тому	7	4
85	которой мы	2	4
86	но все	2	4
87	в качестве	4	4
88	в самом	11	4
89	той или	2	4
90	точка зрения	3	4
91	все это	4	4
92	языка и	3	4
93	того что	17	4
94	речь и	5	4
95	так же	4	4
96	о том	9	4
97	но в	6	4
98	не существует	3	4
99	если бы	8	4
100	внутренняя речь	3	4
101	внешней речи	3	4
102	были бы	2	4
103	и к	6	4
104	мы видим	4	4
105	мы увидим	2	4
106	а с	4	4
107	если мы	6	4
108	самом деле	6	4
109	можно было	5	4
110	как только	2	3
111	что у	3	3
112	перед нами	2	3
113	это не	5	3
114	человеческой речи	12	3
115	для нас	4	3
116	но что	2	3
117	и само	2	3
118	и эта	2	3
119	но для	2	3
120	в котором	2	3
121	в целом	10	3
122	из них	3	3
123	от того	2	3
124	уже видели	2	3
125	что оно	4	3
126	лишь в	3	3
127	и даже	5	3
128	их в	4	3
129	сказать что	6	3
130	в начале	4	3
131	в виду	6	3
132	теперь в	2	3
133	видели что	5	3
134	бы мы	2	3
135	то он	2	3
136	и все	3	3
137	в одном	2	3
138	этого слова	3	3
139	об этом	3	3
140	том что	27	3
141	нет и	2	3
142	и развития	2	3
143	что и	2	3
144	связь между	5	3
145	на самом	3	3
146	и для	2	3
147	связи с	9	3
148	быть может	2	2
149	бы и	3	2
150	в частности	6	2
151	объективной действительности	2	2
152	человека и	3	2
153	и речь	2	2
154	вопрос о	5	2
155	как уже	2	2
156	человек с	2	2
157	в том	33	2
158	развития в	6	2
159	иными словами	2	2
160	очевидно что	3	2
161	для него	3	2
162	и сам	3	2
163	несмотря на	4	2
164	с развитием	4	2
165	социальной среде	5	2
166	из двух	3	2
167	но мы	3	2
168	в этих	2	2
169	в первой	2	2
170	целый ряд	2	2
171	как например	2	2
172	в связи	6	2
173	в отношении	6	2
174	этом отношении	3	2
175	все эти	3	2
176	но эта	3	2
177	должно быть	2	2
178	достаточно было	2	2
179	в которых	3	2
180	также и	2	2
181	по своей	6	2
182	возникновения и	3	2
183	мы имеем	3	2
184	к которому	6	2
185	в основе	3	2
186	речи но	3	2
187	для всех	4	2
188	смысле этого	3	2
189	с этим	3	2
190	к этому	4	2
191	с собой	3	2
192	речи это	2	2
193	что он	12	2
194	только тогда	2	2
195	речи не	2	2
196	представляет собой	2	2
197	но не	3	2
198	тот же	7	2
199	одной из	3	2
200	в своей	4	2
201	с ней	2	2
202	связь с	2	2
203	как в	4	2
204	как нечто	2	2
205	должны были	3	2
206	стадии своего	2	2
207	из которых	3	2
208	к чему	2	2
209	с ним	3	2
210	у них	2	2
211	или в	3	2
212	этот вопрос	5	2
213	тем что	2	2
214	это же	3	2
215	и вообще	2	2
216	заметить что	2	2
