N	2gram	Vinokur_Ku_2	Russkaja
1	не может	9	22
2	и не	16	19
3	в том	19	17
4	в этом	18	17
5	и в	23	14
6	то что	9	13
7	таким образом	5	11
8	то же	6	11
9	точки зрения	14	11
10	же время	3	10
11	но и	7	10
12	в то	4	10
13	том что	11	9
14	не только	20	9
15	с точки	8	9
16	может быть	15	9
17	во всяком	5	9
18	прежде всего	8	8
19	того чтобы	11	8
20	ни к	15	7
21	отнюдь не	4	7
22	к тому	4	7
23	и если	2	7
24	самом деле	9	7
25	в данном	4	7
26	мы должны	2	7
27	и с	7	7
28	если бы	12	6
29	на самом	2	6
30	что он	5	6
31	с тем	2	6
32	для того	9	6
33	всяком случае	5	6
34	все это	5	6
35	в своем	2	6
36	и для	2	6
37	в своих	2	6
38	хотя бы	9	5
39	вопрос о	9	5
40	на то	4	5
41	и на	6	5
42	при этом	2	5
43	было бы	15	5
44	конечно не	2	5
45	в своей	2	5
46	он не	3	5
47	никогда не	2	5
48	в нем	4	5
49	по существу	5	5
50	из которых	3	5
51	а в	3	5
52	потому что	25	5
53	только в	5	5
54	между тем	6	5
55	но не	6	4
56	не могут	5	4
57	том случае	2	4
58	что в	10	4
59	как и	2	4
60	к вопросу	3	4
61	ли это	2	4
62	как бы	4	4
63	все же	7	4
64	в корне	2	4
65	вместе с	5	4
66	со стороны	4	4
67	от того	4	4
68	что же	5	4
69	в их	2	4
70	приводит к	5	4
71	не в	8	4
72	можно было	9	4
73	и то	5	4
74	в этой	6	4
75	в его	5	4
76	так как	15	4
77	к этой	3	4
78	вопросу о	3	3
79	что это	7	3
80	можно ли	4	3
81	на том	2	3
82	именно в	3	3
83	случае если	2	3
84	в конце	4	3
85	что все	5	3
86	а следовательно	2	3
87	главным образом	3	3
88	таким же	2	3
89	о которых	3	3
90	этом случае	2	3
91	всех этих	3	3
92	да и	6	3
93	в другом	2	3
94	лишь в	5	3
95	что они	2	3
96	должно быть	4	3
97	в качестве	8	3
98	лучшем случае	3	3
99	еще не	5	3
100	несмотря на	5	3
101	в самом	12	3
102	знаем что	3	3
103	и потому	2	3
104	для этого	3	3
105	что и	3	3
106	и т	39	3
107	все они	2	3
108	данном случае	2	3
109	вряд ли	4	3
110	не было	4	3
111	что оно	3	3
112	и сейчас	2	3
113	сводится к	3	3
114	того что	3	3
115	и по	3	3
116	что для	2	3
117	в лучшем	3	3
118	или в	4	3
119	тем что	3	3
120	говорить о	4	3
121	связи с	3	3
122	о котором	2	3
123	конце концов	3	3
124	только для	2	2
125	этого не	3	2
126	нисколько не	3	2
127	и более	2	2
128	должна быть	5	2
129	и есть	2	2
130	в частности	2	2
131	у него	3	2
132	но даже	2	2
133	и от	2	2
134	с этим	3	2
135	точно так	3	2
136	этот вопрос	6	2
137	это в	2	2
138	состоит в	2	2
139	представить себе	2	2
140	ясно что	5	2
141	их не	2	2
142	или иного	2	2
143	по себе	10	2
144	ни в	4	2
145	уже не	8	2
146	следовательно и	2	2
147	чтобы понять	2	2
148	но это	3	2
149	при отсутствии	2	2
150	вся эта	2	2
151	отличается от	3	2
152	она не	2	2
153	совершенно не	3	2
154	и о	4	2
155	но для	3	2
156	в ней	3	2
157	на это	3	2
158	речь идет	2	2
159	и тем	5	2
160	на этой	4	2
161	для нас	4	2
162	целый ряд	5	2
163	это только	2	2
164	же образом	2	2
165	отношения к	2	2
166	все эти	12	2
167	не просто	2	2
168	и вот	5	2
169	и что	8	2
170	тем самым	2	2
171	а не	10	2
172	что такое	3	2
173	и даже	2	2
174	к нему	2	2
175	так же	4	2
176	в глазах	2	2
177	в результате	4	2
178	в силу	7	2
179	даже и	2	2
180	понять что	2	2
181	последнее время	3	2
182	того или	2	2
183	в таких	3	2
184	как будто	2	2
185	большинстве случаев	2	2
186	за последнее	2	2
187	в области	11	2
188	но в	11	2
189	что ничего	2	2
