N	2gram	Propp_Russ_2	Marksizm
1	может быть	13	26
2	не может	5	24
3	и в	29	19
4	таким образом	6	17
5	в этом	11	16
6	как бы	18	15
7	прежде всего	2	13
8	как мы	3	13
9	как и	11	12
10	и пр	2	12
11	и для	2	11
12	связи с	2	11
13	при этом	6	8
14	но и	8	8
15	друг друга	3	8
16	не только	10	8
17	все же	2	8
18	то что	5	8
19	все эти	3	7
20	так же	4	7
21	но в	5	7
22	в ее	3	7
23	во всех	3	7
24	то же	4	7
25	а не	4	7
26	в том	22	6
27	кроме того	2	6
28	мы не	6	6
29	с другой	2	5
30	именно в	4	5
31	не в	4	5
32	до конца	3	5
33	и все	4	5
34	к этому	5	5
35	в отличие	3	5
36	того чтобы	6	5
37	этот вопрос	2	5
38	отличие от	3	5
39	что в	22	4
40	не менее	2	4
41	вопрос о	4	4
42	здесь мы	2	4
43	не столько	2	4
44	а в	9	4
45	и на	6	4
46	жизни в	2	4
47	с этим	2	4
48	еще не	6	4
49	было бы	3	4
50	не будем	3	4
51	как в	7	4
52	для того	6	4
53	переход от	2	4
54	в данном	6	4
55	далеко не	4	4
56	и от	3	3
57	здесь в	2	3
58	в целях	2	3
59	из основных	2	3
60	и как	2	3
61	в котором	3	3
62	из них	4	3
63	все это	10	3
64	не было	2	3
65	того что	3	3
66	не имеет	3	3
67	с другими	3	3
68	между тем	3	3
69	в то	2	3
70	его в	8	3
71	этом случае	6	3
72	том что	22	3
73	и при	2	3
74	совершенно не	2	3
75	в своей	2	3
76	это и	2	3
77	на самом	2	3
78	и ее	2	3
79	в которой	2	3
80	же как	4	2
81	никогда не	2	2
82	же деле	2	2
83	тем не	2	2
84	все в	2	2
85	связаны с	3	2
86	одним из	2	2
87	но если	3	2
88	в виду	2	2
89	где они	2	2
90	и других	3	2
91	должно быть	2	2
92	можно было	2	2
93	в своих	2	2
94	с этой	2	2
95	из этих	2	2
96	о том	9	2
97	за пределами	2	2
98	так как	13	2
99	и с	10	2
100	для них	2	2
101	между собой	2	2
102	если он	2	2
103	у нас	4	2
104	самом же	2	2
105	одна из	11	2
106	в качестве	3	2
107	там и	2	2
108	она не	3	2
109	на первый	3	2
110	или вообще	4	2
111	не все	4	2
112	что и	2	2
113	из которых	2	2
114	в таком	4	2
115	или в	7	2
116	тем что	3	2
117	могут быть	2	2
118	как оно	2	2
119	из этого	2	2
120	там где	2	2
