N	2gram	Vinokur_Ku_1	Russkaja
1	не может	7	22
2	и не	12	19
3	в том	30	17
4	в этом	14	17
5	и в	24	14
6	то что	9	13
7	таким образом	12	11
8	то же	8	11
9	точки зрения	14	11
10	же время	2	10
11	но и	6	10
12	в то	2	10
13	том что	21	9
14	не только	10	9
15	в себе	3	9
16	с точки	9	9
17	может быть	13	9
18	во всяком	5	9
19	прежде всего	9	8
20	того чтобы	17	8
21	как на	3	8
22	к тому	5	7
23	и если	3	7
24	самом деле	9	7
25	в данном	4	7
26	о том	9	7
27	и с	5	7
28	если бы	9	6
29	на самом	2	6
30	что он	6	6
31	и при	2	6
32	с тем	5	6
33	для того	16	6
34	всяком случае	5	6
35	если в	2	6
36	все это	6	6
37	в своем	3	6
38	и для	2	6
39	хотя бы	10	5
40	вопрос о	2	5
41	на то	4	5
42	и на	4	5
43	или иной	3	5
44	при этом	6	5
45	до сих	4	5
46	было бы	15	5
47	конечно не	2	5
48	в своей	2	5
49	он не	2	5
50	никогда не	2	5
51	в нем	4	5
52	сих пор	4	5
53	по существу	4	5
54	а потому	5	5
55	а в	5	5
56	потому что	23	5
57	только в	11	5
58	между тем	5	5
59	но не	5	4
60	не могут	2	4
61	что в	17	4
62	тогда когда	6	4
63	как и	2	4
64	более или	3	4
65	ли это	2	4
66	как бы	7	4
67	себе и	2	4
68	все же	12	4
69	вместе с	7	4
70	со стороны	4	4
71	или менее	3	4
72	что же	6	4
73	в их	3	4
74	при том	2	4
75	не в	11	4
76	можно было	6	4
77	и то	3	4
78	в этой	3	4
79	в его	12	4
80	идет речь	2	4
81	так как	9	4
82	для них	2	3
83	что это	5	3
84	можно ли	2	3
85	на том	3	3
86	именно в	6	3
87	в большинстве	2	3
88	из этих	4	3
89	что все	2	3
90	этом случае	2	3
91	и как	2	3
92	лишь в	2	3
93	что они	4	3
94	должно быть	3	3
95	в качестве	7	3
96	еще не	5	3
97	несмотря на	3	3
98	в самом	10	3
99	том чтобы	8	3
100	но если	2	3
101	и потому	4	3
102	для этого	3	3
103	то это	3	3
104	что и	4	3
105	не есть	4	3
106	и т	33	3
107	из них	4	3
108	только к	2	3
109	не было	3	3
110	что оно	3	3
111	сводится к	3	3
112	того что	9	3
113	или в	2	3
114	тем что	8	3
115	связи с	7	3
116	о котором	2	3
117	любовь к	2	2
118	а с	3	2
119	этого не	2	2
120	нисколько не	3	2
121	и более	2	2
122	должна быть	3	2
123	и есть	2	2
124	в частности	4	2
125	были бы	2	2
126	это разумеется	2	2
127	с этим	4	2
128	к себе	4	2
129	состоит в	3	2
130	ясно что	3	2
131	или иного	3	2
132	по себе	2	2
133	том и	2	2
134	ни в	2	2
135	разумеется что	2	2
136	уже не	8	2
137	так что	4	2
138	это есть	2	2
139	что с	2	2
140	в ней	6	2
141	и является	4	2
142	в котором	3	2
143	речь идет	2	2
144	и тем	2	2
145	для нас	2	2
146	а во-вторых	2	2
147	ее в	2	2
148	чтобы в	2	2
149	и тогда	4	2
150	тому что	3	2
151	целый ряд	5	2
152	по отношению	8	2
153	это только	3	2
154	котором идет	2	2
155	тогда как	2	2
156	если не	3	2
157	все эти	6	2
158	не просто	5	2
159	и что	5	2
160	тем самым	4	2
161	а не	8	2
162	что такое	6	2
163	и даже	3	2
164	так же	4	2
165	во многих	2	2
166	в таком	3	2
167	том же	2	2
168	в результате	5	2
169	в силу	10	2
170	даже и	3	2
171	на себя	3	2
172	на эту	2	2
173	того или	4	2
174	в таких	4	2
175	в этих	4	2
176	с ним	5	2
177	и должно	2	2
178	в области	7	2
179	но в	2	2
180	любви к	2	2
