N	2gram	Propp_Isto_1	Analitik
1	в качестве	5	31
2	может быть	25	29
3	в том	9	27
4	не может	15	22
5	и не	9	21
6	в частности	2	19
7	и в	28	18
8	а не	15	17
9	но и	10	17
10	представляет собой	4	16
11	не только	12	15
12	не в	9	14
13	как и	4	13
14	в его	5	13
15	в этом	8	13
16	том что	7	12
17	при этом	3	12
18	в себе	2	11
19	но не	5	10
20	то же	12	9
21	а в	7	9
22	в то	3	9
23	не есть	2	8
24	но в	8	8
25	к тому	6	7
26	том чтобы	2	7
27	это не	7	6
28	прежде всего	10	6
29	себя в	2	6
30	должен быть	3	6
31	то что	9	6
32	в отличие	2	6
33	отличие от	2	6
34	по отношению	3	6
35	в основе	4	6
36	по своей	2	6
37	только в	11	6
38	мы имеем	13	6
39	и как	2	5
40	в этой	6	5
41	что в	12	5
42	как бы	2	5
43	отношению к	3	5
44	в целом	2	5
45	в их	3	5
46	и его	3	5
47	между тем	2	5
48	и на	4	5
49	о том	9	5
50	на вопрос	2	4
51	того что	4	4
52	могут быть	4	4
53	столь же	2	4
54	с другой	6	4
55	не всегда	8	4
56	по себе	3	4
57	большей или	2	4
58	в области	2	4
59	в конечном	2	4
60	не с	3	4
61	все же	10	4
62	вместе с	6	4
63	так и	9	4
64	дело с	2	4
65	именно в	3	4
66	уже не	3	4
67	ни было	2	4
68	не более	2	4
69	из которых	3	4
70	или меньшей	2	4
71	в другом	3	4
72	как правило	4	4
73	с ним	2	4
74	в рамках	2	3
75	не могут	2	3
76	вступает в	2	3
77	однако не	2	3
78	однако в	2	3
79	то ни	2	3
80	вследствие этого	2	3
81	хотя бы	4	3
82	в нем	2	3
83	что он	10	3
84	и т	25	3
85	в силу	5	3
86	еще не	7	3
87	одной стороны	4	3
88	означает что	4	3
89	что не	2	3
90	никто не	2	3
91	одним из	2	3
92	он не	2	3
93	о нем	2	3
94	в котором	3	3
95	даже в	4	3
96	дело не	5	3
97	что и	6	3
98	бы то	2	3
99	а именно	4	3
100	таким образом	8	3
101	а с	2	3
102	с одной	4	3
103	ведет к	2	3
104	как будто	4	3
105	что мы	7	3
106	будто бы	3	3
107	как он	2	3
108	бы быть	3	3
109	оно может	2	3
110	если бы	8	3
111	только для	2	2
112	никогда не	14	2
113	все эти	4	2
114	безотносительно к	2	2
115	его и	2	2
116	между собой	4	2
117	для этого	3	2
118	в какой	3	2
119	тогда когда	2	2
120	не просто	3	2
121	была бы	2	2
122	вовсе не	2	2
123	вопрос о	5	2
124	как уже	2	2
125	не должен	5	2
126	в начале	3	2
127	и потому	2	2
128	только через	3	2
129	должно быть	2	2
130	для него	2	2
131	в пределах	4	2
132	было бы	7	2
133	мысль о	2	2
134	без другого	2	2
135	еще в	2	2
136	не все	4	2
137	один из	4	2
138	представляют собой	6	2
139	из них	3	2
140	ли он	3	2
141	со стороны	2	2
142	что же	3	2
143	и тогда	3	2
144	другой стороны	5	2
145	здесь не	4	2
146	на этом	3	2
147	отношения к	2	2
148	и по	3	2
149	как мы	3	2
150	на основе	5	2
151	то он	2	2
152	также и	3	2
153	героя в	5	2
154	же самое	3	2
155	могли бы	3	2
156	при помощи	2	2
157	которые в	2	2
158	так как	6	2
159	потому что	4	2
160	и с	4	2
