N	2gram	Losev_Prob_1	NovoeSre
1	а не	15	17
2	не может	8	16
3	и в	32	16
4	совсем не	4	12
5	и не	31	11
6	и есть	6	10
7	что в	12	9
8	он не	3	8
9	в том	9	8
10	не будет	2	7
11	как и	3	7
12	это есть	9	7
13	в этом	19	7
14	может быть	14	7
15	с его	2	6
16	никогда не	7	6
17	не в	4	6
18	но это	8	6
19	ни в	7	6
20	в нем	13	5
21	все это	7	5
22	в жизни	3	5
23	не только	17	5
24	не менее	19	4
25	то что	42	4
26	в них	7	4
27	это не	6	4
28	и все	7	4
29	не было	4	4
30	не имеет	2	4
31	и для	4	4
32	должно быть	2	4
33	потому что	16	4
34	по своему	9	4
35	xix и	2	4
36	прежде всего	10	4
37	о том	11	4
38	значит что	3	4
39	и потому	2	4
40	но и	9	3
41	не есть	29	3
42	не существует	6	3
43	в своей	8	3
44	в истории	4	3
45	с другой	3	3
46	во всех	7	3
47	перейти к	4	3
48	и пр	4	3
49	к тому	3	3
50	что такое	6	3
51	в ее	3	3
52	с тем	5	3
53	подобно тому	2	3
54	смысле слова	7	3
55	как в	4	3
56	она не	2	3
57	еще не	9	3
58	тому как	2	3
59	за пределы	6	3
60	сказать что	13	3
61	не значит	2	3
62	это было	2	3
63	что все	3	2
64	и весь	4	2
65	все время	2	2
66	вместе с	2	2
67	но она	3	2
68	так и	12	2
69	что она	5	2
70	для этого	3	2
71	другой стороны	3	2
72	не знал	5	2
73	мы говорим	3	2
74	а в	4	2
75	и начала	2	2
76	этом смысле	6	2
77	все эти	8	2
78	уже не	3	2
79	нет и	2	2
80	того чтобы	9	2
81	и даже	11	2
82	хотя бы	3	2
83	но не	9	2
84	так же	9	2
85	по существу	2	2
86	мы не	2	2
87	том что	12	2
88	можно было	3	2
89	есть в	5	2
90	же как	2	2
91	и с	2	2
92	и что	9	2
93	и заключается	2	2
94	могут быть	2	2
95	с этим	3	2
96	и на	8	2
97	в себе	15	2
98	в то	6	2
99	как будто	3	2
100	и это	9	2
101	такого рода	7	2
102	для чего	2	2
103	не имеют	5	2
104	когда мы	8	2
105	как это	6	2
106	и должно	2	2
107	но для	3	2
108	хотя и	6	2
109	но в	14	2
110	помнить что	3	2
