N	2gram	Berdyaev_O_1	Vvedenie
1	т е	4	35
2	и в	19	32
3	в том	5	31
4	в этом	12	30
5	может быть	11	26
6	том что	2	26
7	не только	11	22
8	для того	3	21
9	того чтобы	4	20
10	то что	5	16
11	потому что	9	15
12	так как	2	15
13	не может	4	14
14	в самом	5	13
15	в нем	10	13
16	о том	3	13
17	того что	3	12
18	и не	13	12
19	в его	7	12
20	в ее	2	11
21	что в	4	10
22	но в	2	9
23	в истории	2	9
24	по себе	2	9
25	это не	3	8
26	не в	11	8
27	прежде всего	9	7
28	вопрос о	10	7
29	было бы	3	7
30	все же	2	7
31	не могут	3	6
32	но и	13	6
33	все это	6	6
34	о природе	3	6
35	его в	2	6
36	с тем	2	6
37	как и	6	6
38	хотя бы	3	6
39	и его	4	6
40	тем что	2	6
41	уже в	2	5
42	так что	2	5
43	как бы	3	5
44	сказать что	2	5
45	не есть	2	5
46	а не	11	5
47	что не	4	5
48	могут быть	3	5
49	не имеет	2	4
50	а в	5	4
51	одно из	2	4
52	даже и	2	4
53	должен был	2	4
54	что он	3	4
55	еще не	3	4
56	в своей	2	4
57	и для	2	4
58	и то	2	4
59	и ее	3	4
60	в себе	3	4
61	совсем не	2	3
62	он сам	4	3
63	и есть	3	3
64	в этих	3	3
65	в этой	5	3
66	до конца	7	3
67	хотя и	2	3
68	к нему	3	3
69	отношение к	5	3
70	в своем	2	3
71	все эти	4	3
72	и вот	3	3
73	и на	2	3
74	к этому	2	3
75	и к	2	3
76	чем в	2	3
77	что и	2	3
78	что же	2	3
79	никогда не	9	2
80	природы и	2	2
81	не было	9	2
82	должно быть	2	2
83	и с	2	2
84	так и	2	2
85	романов достоевского	2	2
86	учение о	2	2
87	ни с	7	2
88	в этот	2	2
89	него в	5	2
90	мысли и	3	2
91	о которой	2	2
92	есть лишь	4	2
93	в другом	2	2
94	ничего не	2	2
95	не могли	2	2
