N	2gram	Tiupa_Anal_2	Vvedenie
1	т е	2	35
2	и в	16	32
3	в том	12	31
4	в этом	18	30
5	может быть	6	26
6	том что	12	26
7	не только	16	22
8	таким образом	2	19
9	то что	7	16
10	не может	4	14
11	в самом	6	13
12	о том	7	13
13	со стороны	3	13
14	того что	2	12
15	в общем	2	12
16	в их	3	12
17	и не	12	12
18	представляет собой	8	12
19	в его	2	12
20	только в	4	12
21	как мы	3	11
22	в данном	8	11
23	языка и	2	10
24	что в	2	10
25	но в	6	9
26	между тем	2	9
27	этом смысле	2	9
28	этого рода	2	9
29	по себе	2	9
30	то же	4	9
31	не менее	4	8
32	с другой	6	8
33	тем не	3	8
34	не в	4	8
35	именно в	3	8
36	прежде всего	3	7
37	точки зрения	4	7
38	уже и	2	7
39	но не	4	7
40	было бы	3	7
41	можно было	3	7
42	же время	2	6
43	один из	2	6
44	но и	12	6
45	все это	4	6
46	и даже	9	6
47	в то	2	6
48	его в	2	6
49	вовсе не	2	6
50	как и	14	6
51	в качестве	11	6
52	и его	4	6
53	тем что	3	6
54	так что	3	5
55	так например	2	5
56	на этот	2	5
57	как бы	10	5
58	и тем	4	5
59	в целом	8	5
60	а как	2	5
61	данном случае	5	5
62	другой стороны	2	5
63	с их	2	5
64	сказать что	2	5
65	не есть	2	5
66	вместе с	2	5
67	а не	10	5
68	могут быть	10	5
69	представляют собой	2	5
70	как уже	3	4
71	этом случае	4	4
72	особого рода	2	4
73	как о	3	4
74	одной стороны	4	4
75	о чем	2	4
76	в котором	2	4
77	в тексте	24	4
78	по отношению	4	4
79	этом отношении	3	4
80	с одной	5	4
81	не имеет	2	4
82	а в	3	4
83	одно из	2	4
84	как это	6	4
85	мы имеем	3	4
86	по крайней	3	4
87	еще не	2	4
88	крайней мере	3	4
89	отношению к	4	4
90	в своей	2	4
91	внимание на	2	4
92	как раз	4	4
93	это только	2	4
94	уже не	4	4
95	и для	2	4
96	той же	2	4
97	и то	3	4
98	в себе	7	4
99	и т.д	3	4
100	в частности	16	3
101	в этих	2	3
102	вообще не	2	3
103	в конце	4	3
104	можно сказать	4	3
105	к тому	7	3
106	в этой	9	3
107	на этом	4	3
108	что с	2	3
109	при этом	10	3
110	такого рода	2	3
111	хотя и	4	3
112	в конечном	3	3
113	на этой	2	3
114	во второй	4	3
115	из них	3	3
116	дело не	2	3
117	что она	2	3
118	в своем	4	3
119	так же	2	3
120	и на	6	3
121	в результате	3	3
122	говорить о	6	3
123	если бы	3	3
124	к этому	2	3
125	и к	5	3
126	говорит о	5	3
127	одной из	3	3
128	в одном	2	3
129	в сущности	4	3
130	текста и	2	3
131	а также	7	3
132	что и	3	3
133	своего рода	12	3
134	времени в	4	3
135	в центре	3	3
136	как будто	3	3
137	ответ на	3	3
138	казалось бы	3	2
139	никогда не	3	2
140	них не	2	2
141	или иной	3	2
142	из его	2	2
143	соответствии с	2	2
144	и сам	3	2
145	несмотря на	3	2
146	вообще и	2	2
147	и наоборот	2	2
148	этих случаях	2	2
149	не мог	3	2
150	не столько	3	2
151	не следует	2	2
152	он и	2	2
153	той или	3	2
154	бы в	3	2
155	так и	15	2
156	на котором	2	2
157	состоит в	8	2
158	не с	4	2
159	по существу	2	2
160	в соответствии	2	2
161	должна была	2	2
162	того же	4	2
163	во всех	4	2
164	литературное произведение	3	2
165	ни с	2	2
166	этого слова	3	2
167	для нее	2	2
168	и до	2	2
169	только на	3	2
170	тогда как	19	2
171	в значительной	2	2
172	с точки	2	2
173	тому как	3	2
174	подобно тому	3	2
175	на протяжении	2	2
176	целого и	2	2
177	собой в	2	2
178	ничего не	9	2
179	нашего времени	4	2
