N	2gram	Bakhtin_Pr_4	Myshleni
1	речи и	5	30
2	в этом	16	29
3	точки зрения	11	28
4	и в	46	26
5	не только	14	24
6	то что	4	24
7	таким образом	4	23
8	с точки	9	21
9	в том	9	18
10	и не	27	18
11	том что	4	17
12	потому что	4	16
13	как и	12	15
14	к слову	2	14
15	так же	3	14
16	так как	5	14
17	как мы	12	14
18	с помощью	3	13
19	что в	4	12
20	вместе с	2	12
21	и его	6	12
22	но и	12	11
23	мысли и	2	11
24	в слове	3	11
25	не может	19	11
26	словом и	3	10
27	по своей	3	10
28	слова и	7	10
29	в самом	9	9
30	что мы	2	9
31	в сущности	7	9
32	слово и	7	9
33	тем что	3	9
34	в себе	7	9
35	же как	2	8
36	то же	6	8
37	сказать что	2	8
38	что он	6	8
39	той же	3	8
40	только в	6	8
41	к тому	2	7
42	прежде всего	9	7
43	может быть	23	7
44	по мере	4	7
45	и к	9	7
46	мы не	4	7
47	вопрос о	2	6
48	и тем	2	6
49	к внутренней	2	6
50	по отношению	5	6
51	как бы	19	6
52	все что	2	6
53	и что	3	6
54	было бы	3	6
55	и слова	2	6
56	во всех	5	6
57	все эти	4	6
58	все же	4	6
59	речи как	2	6
60	самом деле	4	6
61	а не	11	6
62	слова в	13	5
63	можно сказать	4	5
64	до конца	4	5
65	если бы	3	5
66	и следовательно	2	5
67	в виду	4	5
68	и их	3	5
69	речь и	2	5
70	никак не	3	5
71	и с	7	5
72	бы в	3	5
73	она не	3	5
74	отношению к	5	5
75	в процессе	4	5
76	слова как	3	5
77	в направлении	4	5
78	связи между	2	5
79	если мы	5	5
80	в речи	3	5
81	тем же	3	5
82	и для	3	5
83	в данном	2	5
84	не менее	2	4
85	не могут	3	4
86	никогда не	6	4
87	с другой	3	4
88	в конце	3	4
89	на то	3	4
90	так что	2	4
91	в котором	5	4
92	если в	2	4
93	целый ряд	2	4
94	то и	2	4
95	и наконец	4	4
96	друг друга	6	4
97	слова с	7	4
98	и во	3	4
99	в его	9	4
100	о том	5	4
101	но в	6	4
102	стороны и	2	4
103	на пороге	12	4
104	еще не	7	4
105	своей природе	2	4
106	отношение между	2	4
107	как в	4	4
108	приводит к	4	4
109	в той	3	4
110	не в	10	4
111	речь в	2	4
112	и только	3	4
113	для этого	2	3
114	все это	6	3
115	это не	5	3
116	из этих	3	3
117	и речь	2	3
118	слова но	4	3
119	но это	6	3
120	такой же	3	3
121	пути и	2	3
122	есть в	6	3
123	для него	2	3
124	и является	2	3
125	между ними	10	3
126	в первой	2	3
127	только и	2	3
128	мы находим	5	3
129	в самой	5	3
130	устной речи	3	3
131	и по	2	3
132	он не	4	3
133	мы уже	3	3
134	с ним	2	3
135	чем у	3	3
136	с собой	3	3
137	к другому	5	3
138	по себе	7	3
139	об этом	2	3
140	во всем	4	3
141	в то	5	3
142	но не	4	3
143	в одной	2	3
144	до сих	8	3
145	и о	3	3
146	этого слова	2	3
147	нет и	2	3
148	что и	3	3
149	в своей	3	3
150	сих пор	8	3
151	так и	4	3
152	только на	3	3
153	как раз	7	3
154	к нему	5	3
155	отличается от	3	3
156	мы можем	4	3
157	между двумя	3	3
158	в этой	3	3
159	зрения как	2	2
160	перед нами	12	2
161	уже в	4	2
162	себя и	3	2
163	в этих	4	2
164	друг с	5	2
165	его к	2	2
166	для нас	2	2
167	ни в	6	2
168	мы и	3	2
169	в большинстве	9	2
170	или в	8	2
171	одним из	3	2
172	но для	3	2
173	но если	3	2
174	в нем	17	2
175	с ее	3	2
176	отношение к	3	2
177	значение в	2	2
178	в их	4	2
179	того и	2	2
180	отношения к	2	2
181	и других	4	2
182	друга и	3	2
183	лишь в	2	2
184	как слово	2	2
185	должно быть	4	2
186	слово не	9	2
187	а в	2	2
188	самим собой	2	2
189	от одного	2	2
190	также и	3	2
191	в которых	2	2
192	речь а	2	2
193	но он	3	2
194	но этот	3	2
195	в речь	3	2
196	большинстве случаев	8	2
197	и свой	2	2
198	находим в	2	2
199	с этим	2	2
200	эти отношения	3	2
201	и другого	2	2
202	этих двух	4	2
203	вовсе не	9	2
204	и здесь	4	2
205	раз в	2	2
206	у нас	2	2
207	и при	3	2
208	ведь это	3	2
209	слов и	3	2
210	но именно	3	2
211	совершенно не	4	2
212	только к	2	2
213	том же	4	2
214	к ней	2	2
215	о которых	2	2
216	и до	3	2
217	что же	3	2
218	в отношении	3	2
219	в отличие	3	2
220	того как	2	2
221	но с	2	2
222	и он	6	2
223	почти всегда	3	2
224	можно было	2	2
225	во всяком	2	2
226	могут быть	2	2
227	ту же	2	2
228	с другом	5	2
229	если же	5	2
230	которые в	2	2
231	отличие от	3	2
232	ничего не	2	2
