N	3gram	Tiupa_Anal_1	KulturaY
1	и т п	3	41
2	с точки зрения	4	16
3	в самом деле	2	11
4	для того чтобы	3	11
5	в том что	9	8
6	той или иной	6	5
7	в данном случае	2	4
8	с одной стороны	3	4
9	с другой стороны	2	3
10	не может быть	16	3
11	того или иного	3	3
12	в том чтобы	7	3
13	о том что	3	3
14	в том числе	3	2
15	в отличие от	6	2
16	и того же	2	2
17	не в том	3	2
18	в свое время	2	2
19	в той или	3	2
20	в первом случае	2	2
21	в таком случае	3	2
22	не могут быть	2	2
23	по отношению к	5	2
24	лишь в том	3	2
25	к тому же	4	2
26	одного и того	2	2
