N	3gram	Losev_Vlad_3	Dialekti
1	это значит что	6	21
2	с точки зрения	6	14
3	тем не менее	9	10
4	в таком случае	2	10
5	не может быть	6	6
6	вовсе не есть	2	5
7	о том что	8	5
8	сам по себе	2	5
9	само по себе	3	5
10	в то время	4	4
11	на первый план	2	4
12	то это значит	4	4
13	то время как	2	4
14	даже и не	2	3
15	ни в каком	2	3
16	в том что	10	3
17	с одной стороны	3	3
18	на то что	2	3
19	ничего не говорит	4	3
20	как раз и	5	3
21	в сравнении с	2	3
22	что это есть	2	2
23	к тому что	2	2
24	так же как	2	2
25	в вопросе о	2	2
26	но даже и	2	2
27	иметь в виду	2	2
28	точно так же	4	2
29	с другой стороны	2	2
30	и в этом	5	2
31	не говорит о	2	2
32	во всяком случае	3	2
33	к тому же	5	2
34	так или иначе	2	2
