N	2gram	Losev_Prob_4	VelikijI
1	и не	28	20
2	и в	20	16
3	то что	15	9
4	так как	5	9
5	еще не	7	8
6	в истории	3	8
7	что они	2	7
8	и потому	7	7
9	на земле	2	7
10	а не	7	7
11	не есть	12	6
12	хотя и	5	5
13	как бы	4	5
14	но и	14	5
15	все это	9	5
16	о великом	2	4
17	и есть	4	4
18	что он	8	4
19	в нем	5	4
20	как и	6	4
21	что мы	3	4
22	в котором	2	4
23	так и	10	4
24	что не	4	4
25	потому что	15	4
26	в этом	9	4
27	в ней	7	4
28	говорить о	2	4
29	и все	8	4
30	в его	3	4
31	с его	2	3
32	если не	3	3
33	что в	3	3
34	по этому	2	3
35	в этих	5	3
36	что во	2	3
37	в них	5	3
38	в конце	2	3
39	в жизни	3	3
40	ни в	17	3
41	в том	20	3
42	не в	13	3
43	но это	6	3
44	за ним	2	3
45	тот же	2	3
46	к тому	3	3
47	во всех	4	3
48	то это	3	3
49	что и	3	3
50	жизни и	5	3
51	в своей	4	3
52	бы и	3	3
53	не было	3	3
54	и что	2	3
55	не имеет	4	3
56	хотя бы	7	3
57	и для	4	3
58	все эти	16	3
59	нет ничего	3	3
60	в чем	2	3
61	но в	8	3
62	верит в	2	2
63	до того	2	2
64	с тем	4	2
65	это не	7	2
66	прежде всего	11	2
67	для нас	6	2
68	да и	5	2
69	том что	12	2
70	но не	5	2
71	они и	2	2
72	не к	2	2
73	конечно не	3	2
74	для него	3	2
75	для них	2	2
76	того чтобы	2	2
77	и во	4	2
78	не только	24	2
79	нет и	2	2
80	не могли	2	2
81	и т	4	2
82	не будет	2	2
83	не хотел	2	2
84	и тогда	2	2
85	т д	3	2
86	все равно	3	2
87	это все	2	2
88	тем что	3	2
89	мы не	7	2
90	уже не	5	2
91	не так	3	2
92	а в	4	2
93	с ним	4	2
94	можно было	4	2
95	и то	2	2
96	только в	23	2
97	и это	2	2
98	во всяком	8	2
