N	2gram	Ircho_Kome_2	Narrotol
1	не только	7	26
2	но и	10	15
3	в том	11	14
4	в качестве	5	14
5	и не	14	14
6	том что	9	13
7	и в	26	13
8	в этом	10	13
9	в частности	4	11
10	только в	4	11
11	может быть	11	10
12	к тому	12	9
13	так и	12	9
14	а в	3	9
15	то что	6	8
16	не может	3	8
17	не в	2	8
18	в своем	6	6
19	прежде всего	4	6
20	и к	2	6
21	вслед за	2	6
22	в его	4	6
23	со стороны	2	6
24	все же	4	6
25	у него	4	6
26	как бы	2	6
27	но в	3	6
28	место в	4	5
29	точки зрения	4	5
30	что он	5	5
31	одной стороны	2	5
32	хотя и	4	5
33	он не	2	5
34	в котором	3	5
35	в нем	6	5
36	отношению к	3	5
37	как в	3	5
38	по отношению	3	5
39	в отличие	2	5
40	таким образом	6	5
41	с одной	2	5
42	в той	2	5
43	с другой	2	5
44	на протяжении	10	5
45	отличие от	2	5
46	в то	6	5
47	о том	6	5
48	ответ на	3	5
49	что это	4	4
50	не менее	4	4
51	если бы	9	4
52	отнюдь не	2	4
53	в глазах	2	4
54	в конце	2	4
55	об этом	2	4
56	же в	4	4
57	тому же	11	4
58	как и	4	4
59	у нее	2	4
60	что в	9	4
61	не является	2	4
62	жизни и	3	4
63	в своей	3	4
64	в ее	2	4
65	то же	3	4
66	в какой	2	4
67	в мире	2	4
68	и у	2	4
69	войны и	3	4
70	в силу	2	4
71	следует признать	2	4
72	в этой	3	4
73	и все	2	4
74	как это	4	4
75	мира в	4	4
76	в ответ	2	3
77	с его	5	3
78	тому что	4	3
79	мы имеем	2	3
80	это не	2	3
81	представить себе	3	3
82	интриги в	2	3
83	да и	3	3
84	жизни так	2	3
85	одна из	2	3
86	но не	3	3
87	же время	3	3
88	и сам	3	3
89	к его	2	3
90	один из	5	3
91	в целом	4	3
92	того чтобы	6	3
93	и для	4	3
94	и его	12	3
95	с ними	2	3
96	с этой	3	3
97	не следует	2	3
98	между тем	4	3
99	действующих лиц	5	3
100	как правило	3	3
101	едва ли	14	3
102	в состав	2	3
103	дело с	3	2
104	в принципе	2	2
105	о чем	3	2
106	одно из	2	2
107	восходит к	4	2
108	однако в	2	2
109	в нашем	2	2
110	что у	4	2
111	хотя бы	2	2
112	столь же	9	2
113	представления о	2	2
114	из этих	4	2
115	вовсе не	2	2
116	и здесь	6	2
117	для нас	3	2
118	и т	2	2
119	в начале	4	2
120	по своему	2	2
121	еще не	6	2
122	было бы	8	2
123	по поводу	3	2
124	со своей	3	2
125	в самом	4	2
126	интерес к	3	2
127	в обоих	3	2
128	что она	2	2
129	не вполне	2	2
130	что и	7	2
131	себя в	3	2
132	нового времени	2	2
133	в других	2	2
134	если не	2	2
135	в течение	2	2
136	и что	2	2
137	более чем	4	2
138	не имеет	3	2
139	той же	3	2
140	роль в	2	2
141	мы не	2	2
142	можно было	4	2
143	или иначе	3	2
144	в ней	3	2
145	т п	2	2
146	говорить о	2	2
147	во время	6	2
148	как он	3	2
149	бы в	2	2
150	потому что	6	2
