N	2gram	Savitsky_P_1	RusskieA
1	и в	14	29
2	т е	3	24
3	что в	4	22
4	том что	4	22
5	в том	9	22
6	как бы	4	18
7	может быть	5	13
8	одна из	2	11
9	в этом	10	11
10	все это	2	10
11	и с	2	10
12	не только	17	10
13	а в	4	9
14	но и	6	8
15	с тем	3	6
16	мы не	3	6
17	же в	4	6
18	для того	3	6
19	для нас	2	6
20	потому что	3	5
21	это не	3	5
22	то что	4	5
23	но не	3	5
24	и т	3	5
25	не может	4	5
26	но в	9	5
27	именно в	2	4
28	в них	2	4
29	не в	5	4
30	из них	2	4
31	а также	4	4
32	то же	9	4
33	а не	2	4
34	в которых	5	4
35	в виде	2	4
36	в качестве	9	3
37	и других	2	3
38	в xix	2	3
39	главным образом	2	3
40	в ее	2	3
41	а н	5	3
42	того что	2	3
43	было бы	6	3
44	и о	5	3
45	в котором	4	3
46	во всех	2	3
47	не будем	2	3
48	между тем	3	3
49	в эту	2	3
50	не менее	2	2
51	могут быть	3	2
52	переход от	2	2
53	с другой	5	2
54	не столько	2	2
55	прежде всего	3	2
56	и как	3	2
57	в европе	2	2
58	для них	2	2
59	одной стороны	3	2
60	и пр	5	2
61	не к	2	2
62	не было	2	2
63	с одной	3	2
64	должно быть	2	2
65	которое в	2	2
66	и е	4	2
67	с этим	2	2
68	в то	7	2
69	и д	8	2
70	церкви и	2	2
71	есть в	2	2
