N	2gram	Vygotskiy__5	Narrotol
1	не только	16	32
2	может быть	9	25
3	но и	6	23
4	в качестве	4	21
5	и не	12	20
6	и в	16	19
7	в том	18	18
8	в этом	25	17
9	в частности	3	14
10	том что	15	14
11	не в	6	14
12	состоит в	6	13
13	а не	10	12
14	представляет собой	7	12
15	то что	26	11
16	а в	3	11
17	не может	18	10
18	точки зрения	18	10
19	при этом	4	9
20	так и	7	9
21	в его	11	9
22	с другой	4	8
23	не является	5	8
24	и т.д	4	7
25	в случае	2	7
26	как и	8	7
27	еще не	4	7
28	к тому	6	7
29	все же	3	7
30	как в	5	7
31	по отношению	12	7
32	с одной	3	7
33	одной стороны	3	7
34	что он	25	6
35	отношению к	12	6
36	то в	3	6
37	но не	10	6
38	точка зрения	8	6
39	именно в	4	6
40	в себя	3	6
41	в той	6	6
42	тем самым	8	6
43	как это	8	6
44	на протяжении	2	6
45	о том	8	6
46	но в	6	6
47	и как	3	5
48	по себе	7	5
49	можно сказать	5	5
50	тому же	2	5
51	к нему	3	5
52	и его	3	5
53	в основе	8	5
54	между двумя	3	5
55	в отличие	2	5
56	отличие от	2	5
57	в этой	6	5
58	переход от	7	4
59	прежде всего	3	4
60	в нем	7	4
61	у него	6	4
62	то же	8	4
63	же в	2	4
64	но все	2	4
65	в силу	10	4
66	было бы	10	4
67	связи с	3	4
68	вслед за	2	4
69	имеет место	2	4
70	одной из	3	4
71	как бы	5	4
72	и тем	3	4
73	хотя бы	5	4
74	другой стороны	2	4
75	те же	2	4
76	из которых	3	4
77	сказать что	13	4
78	только в	10	4
79	и с	3	4
80	не менее	3	3
81	а с	2	3
82	же как	7	3
83	что в	16	3
84	могут быть	4	3
85	никогда не	5	3
86	в свою	4	3
87	это и	3	3
88	что они	5	3
89	свою очередь	3	3
90	в сущности	13	3
91	в ней	2	3
92	он не	8	3
93	и даже	2	3
94	если в	3	3
95	не с	2	3
96	не есть	4	3
97	в первом	3	3
98	из них	2	3
99	жизни и	2	3
100	когда он	2	3
101	этом отношении	5	3
102	как мы	10	3
103	столь же	2	3
104	и на	6	3
105	между тем	3	3
106	тем что	5	3
107	по своей	3	3
108	в то	5	3
109	как будто	2	3
110	в известном	8	2
111	включает в	3	2
112	зависит от	4	2
113	должна быть	5	2
114	себя и	2	2
115	между собой	13	2
116	которая в	2	2
117	в своем	5	2
118	что у	2	2
119	в какой	6	2
120	совершенно очевидно	2	2
121	совершенно иной	2	2
122	точек зрения	4	2
123	известном смысле	7	2
124	говорит о	3	2
125	по существу	3	2
126	как известно	4	2
127	и тот	3	2
128	для него	5	2
129	языка и	6	2
130	в пределах	4	2
131	именно это	2	2
132	в область	2	2
133	и потому	2	2
134	не имеет	4	2
135	во второй	2	2
136	приводит к	7	2
137	отношение к	11	2
138	так же	15	2
139	не на	3	2
140	отношения к	2	2
141	все эти	4	2
142	этой точки	4	2
143	совершенно не	2	2
144	они не	3	2
145	самом деле	3	2
146	что мы	4	2
147	одним из	2	2
148	с точки	9	2
149	это не	4	2
150	можно было	5	2
151	тому как	4	2
152	существенным образом	2	2
153	в результате	4	2
154	тем более	4	2
155	не то	4	2
156	подобно тому	4	2
157	приходит к	3	2
158	но как	3	2
159	говорить о	3	2
160	его в	2	2
161	представляют собой	2	2
162	ничего не	5	2
163	к которому	4	2
164	о чем	2	2
