N	2gram	Berdyaev_O_1	Narrotol
1	не только	11	26
2	а не	11	17
3	но и	13	15
4	в том	5	14
5	и не	13	14
6	том что	2	13
7	и в	19	13
8	в этом	12	13
9	может быть	11	10
10	так и	2	9
11	а в	5	9
12	то что	5	8
13	в себе	3	8
14	не может	4	8
15	не в	11	8
16	никогда не	9	6
17	в своем	2	6
18	прежде всего	9	6
19	и к	2	6
20	того что	3	6
21	в его	7	6
22	жизни в	2	6
23	все же	2	6
24	у него	22	6
25	как бы	3	6
26	ничего не	2	6
27	но в	2	6
28	что он	3	5
29	хотя и	2	5
30	он не	7	5
31	в нем	10	5
32	о том	3	5
33	как и	6	4
34	все что	3	4
35	что в	4	4
36	для него	5	4
37	в своей	2	4
38	в ее	2	4
39	в другом	2	4
40	в этой	5	4
41	и все	10	4
42	с ним	3	4
43	с его	4	3
44	это не	3	3
45	о которой	2	3
46	что они	2	3
47	к ней	2	3
48	как к	2	3
49	все эти	4	3
50	того чтобы	4	3
51	и для	2	3
52	и его	4	3
53	сказать что	2	3
54	он сам	4	2
55	в душе	2	2
56	должен был	2	2
57	одно из	2	2
58	что у	2	2
59	хотя бы	3	2
60	он лишь	3	2
61	еще не	3	2
62	было бы	3	2
63	мысль о	2	2
64	и он	8	2
65	в самом	5	2
66	о любви	2	2
67	не все	2	2
68	что и	2	2
69	в самую	4	2
70	человека есть	2	2
71	в других	2	2
72	достоевского и	5	2
73	быть может	3	2
74	не имеет	2	2
75	но он	7	2
76	в своих	3	2
77	потому что	9	2
