N	2gram	Potebnia_M_3	VLabPisa
1	таким образом	14	27
2	в этом	10	26
3	и в	30	25
4	и т	5	24
5	не только	21	22
6	может быть	28	21
7	и не	15	19
8	не может	6	17
9	в его	4	15
10	т д	3	15
11	прежде всего	3	13
12	в том	32	13
13	этом отношении	2	13
14	все это	4	12
15	с другой	7	11
16	в силу	3	11
17	из них	6	11
18	не могут	5	10
19	о том	2	10
20	к этому	3	9
21	об этом	2	9
22	что в	17	9
23	для него	9	9
24	но и	19	9
25	то же	23	9
26	т п	2	9
27	в своем	5	8
28	другой стороны	4	8
29	могут быть	3	8
30	не следует	5	8
31	из этих	9	7
32	же в	2	7
33	как и	10	7
34	том что	18	7
35	было бы	9	7
36	отношению к	5	7
37	вместе с	12	7
38	по отношению	5	7
39	не было	4	7
40	а не	15	7
41	у него	2	6
42	художественного произведения	5	6
43	в себе	16	6
44	идеи и	2	6
45	это и	2	6
46	то что	18	6
47	более или	3	6
48	том же	2	6
49	в нем	9	6
50	так и	11	6
51	или менее	3	6
52	и его	4	6
53	их в	2	6
54	между тем	9	6
55	в то	10	6
56	тому что	3	5
57	же время	5	5
58	все же	2	5
59	и при	4	5
60	очевидно что	5	5
61	связи с	2	5
62	и есть	3	5
63	действительности и	3	5
64	в искусстве	3	5
65	как бы	3	5
66	один из	4	5
67	художника и	2	5
68	в их	2	5
69	сказать что	5	5
70	только в	21	5
71	не в	15	5
72	он говорит	2	5
73	к тому	7	4
74	перед нами	2	4
75	в одном	2	4
76	в целом	3	4
77	что все	3	4
78	что он	6	4
79	можно сказать	3	4
80	художественном произведении	3	4
81	художественный образ	2	4
82	в ее	2	4
83	в своей	2	4
84	в самом	8	4
85	даже в	2	4
86	образов и	2	4
87	художественное произведение	6	4
88	в них	5	4
89	в этой	2	4
90	во время	2	3
91	с тем	7	3
92	и как	5	3
93	и от	4	3
94	человека и	5	3
95	только что	8	3
96	мы видели	4	3
97	что они	2	3
98	но как	2	3
99	как о	2	3
100	или в	3	3
101	по поводу	4	3
102	с этим	6	3
103	что не	8	3
104	например в	6	3
105	вслед за	3	3
106	далеко не	4	3
107	в котором	4	3
108	его в	3	3
109	что и	13	3
110	жизни и	2	3
111	именно в	3	3
112	образом в	3	3
113	того что	18	3
114	и по	4	3
115	так же	3	3
116	в слове	32	3
117	в которых	2	3
118	никак не	3	3
119	как на	5	3
120	точки зрения	2	3
121	она не	2	3
122	явлений и	2	3
123	бы в	2	3
124	при создании	2	3
125	том как	3	3
126	не менее	5	2
127	что ни	2	2
128	в каждом	3	2
129	зависит от	6	2
130	только не	2	2
131	из себя	2	2
132	образа в	4	2
133	не подлежит	2	2
134	произведения не	2	2
135	по крайней	5	2
136	не всегда	2	2
137	с нею	2	2
138	вовсе не	7	2
139	а как	2	2
140	по себе	16	2
141	показывает что	2	2
142	от них	2	2
143	что при	3	2
144	крайней мере	5	2
145	связанное с	2	2
146	до сих	3	2
147	и потому	4	2
148	но не	7	2
149	и слова	2	2
150	так например	2	2
151	в системе	2	2
152	еще не	5	2
153	одной стороны	3	2
154	и может	3	2
155	в большей	2	2
156	мысль о	5	2
157	для того	4	2
158	одной из	2	2
159	то это	6	2
160	если бы	12	2
161	что например	3	2
162	том чтобы	2	2
163	в ней	8	2
164	что она	3	2
165	относится к	4	2
166	и даже	2	2
167	идеи в	2	2
168	что для	4	2
169	слова не	2	2
170	каждой из	3	2
171	сих пор	3	2
172	от того	8	2
173	бы не	4	2
174	а в	12	2
175	с одной	7	2
176	что оно	11	2
177	того чтобы	3	2
178	что такое	2	2
179	с другими	5	2
180	между собою	6	2
181	тому как	5	2
182	не столько	2	2
183	он не	4	2
184	подобно тому	2	2
185	говорить о	3	2
186	самого себя	3	2
187	что даже	4	2
188	что мы	8	2
189	на это	4	2
190	в образе	3	2
191	в чем	3	2
192	в которой	3	2
193	которая не	2	2
194	в области	2	2
195	например не	2	2
196	тогда когда	9	2
197	нет ни	2	2
198	в сознании	15	2
