N	2gram	Tiupa_Narr_2	Dialekti
1	и не	14	30
2	а не	17	18
3	может быть	10	17
4	и т	2	17
5	ничего не	6	17
6	то что	8	16
7	и в	13	15
8	стало быть	2	15
9	как бы	6	14
10	не имеет	2	14
11	точки зрения	5	14
12	что это	4	13
13	того что	6	13
14	это не	3	12
15	прежде всего	6	11
16	в том	14	11
17	не может	8	11
18	говорить о	2	11
19	и все	4	11
20	в этом	13	11
21	потому что	2	10
22	том что	13	10
23	о личности	2	10
24	было бы	2	9
25	мы не	2	9
26	и что	2	9
27	то же	4	9
28	уже не	4	9
29	с точки	2	9
30	не в	8	8
31	в себе	8	8
32	не только	26	8
33	в чем	2	8
34	что в	4	7
35	должна быть	2	7
36	что он	5	7
37	как и	4	7
38	и его	3	7
39	только в	11	7
40	перед нами	4	6
41	же время	3	6
42	хотя и	5	6
43	и тем	5	6
44	и даже	3	6
45	в результате	2	6
46	сказать что	3	6
47	вовсе не	2	6
48	если бы	4	6
49	тем более	2	6
50	в то	5	6
51	что и	2	6
52	я не	5	5
53	так и	9	5
54	в своем	6	5
55	на то	2	5
56	можно сказать	6	5
57	того чтобы	3	5
58	в ней	2	5
59	в нем	5	5
60	что она	2	5
61	таким образом	5	5
62	именно в	2	5
63	о том	5	5
64	мы имеем	3	5
65	с его	3	5
66	личности в	2	5
67	в жизни	6	5
68	что я	3	5
69	в себя	4	5
70	и для	3	5
71	той же	2	5
72	но это	2	4
73	в этой	4	4
74	что они	3	4
75	один из	3	4
76	и уже	4	4
77	жизни и	4	4
78	но и	15	4
79	так же	2	4
80	с ними	3	4
81	той или	3	4
82	отнюдь не	4	4
83	еще не	2	4
84	как раз	3	4
85	в течение	2	4
86	бы в	2	4
87	хотя бы	2	4
88	тому как	2	4
89	в силу	4	4
90	в его	6	4
91	подобно тому	2	4
92	личности как	2	3
93	тем самым	5	3
94	в свою	2	3
95	все эти	3	3
96	с ним	4	3
97	но в	6	3
98	я уже	2	3
99	только не	2	3
100	можно назвать	2	3
101	об этом	4	3
102	у нас	2	3
103	в своей	4	3
104	со стороны	6	3
105	говорит о	2	3
106	от всего	2	3
107	как в	5	3
108	в данном	10	3
109	в виде	2	3
110	едва ли	3	3
111	в области	2	3
112	не менее	4	2
113	в частности	11	2
114	двух или	2	2
115	с этой	3	2
116	из этих	2	2
117	точно так	2	2
118	к своему	2	2
119	да и	3	2
120	эти два	2	2
121	как о	2	2
122	что с	2	2
123	когда же	2	2
124	при этом	14	2
125	в самом	2	2
126	себе и	2	2
127	никогда не	6	2
128	в котором	5	2
129	то и	3	2
130	и по	3	2
131	о ней	3	2
132	и когда	3	2
133	того или	3	2
134	как это	4	2
135	том как	2	2
136	а как	3	2
137	однако в	2	2
138	в ее	4	2
139	все же	6	2
140	не будет	2	2
141	в качестве	14	2
142	все что	4	2
143	в аспекте	3	2
144	никак не	3	2
145	о нем	3	2
146	оно не	2	2
147	тем не	5	2
148	себя в	2	2
149	собственно говоря	2	2
150	не объясняет	2	2
151	только что	2	2
152	которая не	2	2
153	или иначе	2	2
154	но для	2	2
155	отличие от	5	2
