N	2gram	Tiupa_Hudo_1	NovoeSre
1	а не	9	17
2	не может	7	16
3	и в	19	16
4	нового времени	2	12
5	и не	15	11
6	что в	6	9
7	он не	4	8
8	в том	18	8
9	не будет	2	7
10	как и	2	7
11	в этом	11	7
12	может быть	14	7
13	с его	6	6
14	никогда не	2	6
15	не знает	3	6
16	не в	7	6
17	лишь в	4	6
18	ни в	5	6
19	в нем	5	5
20	все это	2	5
21	в жизни	2	5
22	с ее	5	5
23	культуры в	2	5
24	и к	3	5
25	не только	16	5
26	не менее	3	4
27	то что	4	4
28	в них	2	4
29	это не	2	4
30	и для	2	4
31	потому что	3	4
32	по своему	2	4
33	прежде всего	4	4
34	о том	2	4
35	и потому	2	4
36	к жизни	2	3
37	но и	10	3
38	в своей	5	3
39	жизни в	2	3
40	с другой	7	3
41	во всех	3	3
42	к тому	4	3
43	в мире	21	3
44	в ее	5	3
45	в основе	4	3
46	как в	2	3
47	еще не	3	3
48	за пределы	2	3
49	сказать что	4	3
50	времени в	2	2
51	жизни как	3	2
52	времени и	2	2
53	я не	2	2
54	том и	2	2
55	себя в	7	2
56	место в	4	2
57	но она	2	2
58	так и	11	2
59	что она	2	2
60	и т.п	4	2
61	который в	2	2
62	другой стороны	5	2
63	а в	12	2
64	к более	2	2
65	с одной	2	2
66	этом смысле	3	2
67	все эти	2	2
68	уже не	4	2
69	того чтобы	2	2
70	одной стороны	2	2
71	но не	11	2
72	ни к	2	2
73	так же	2	2
74	том что	8	2
75	есть в	2	2
76	одна из	2	2
77	и что	3	2
78	могут быть	4	2
79	и на	2	2
80	в себе	9	2
81	с их	2	2
82	в то	6	2
83	и это	2	2
84	такого рода	10	2
85	мира и	2	2
86	как это	5	2
87	хотя и	3	2
88	но в	7	2
