N	3gram	Tiupa_Narr_1	DiskursI
1	в том что	5	13
2	по отношению к	3	9
3	о том что	2	5
4	в отличие от	2	4
5	то же время	4	4
6	к тому же	5	4
7	той или иной	4	3
8	в свою очередь	2	3
9	не может быть	4	3
10	в то же	4	3
11	свидетель и судия	3	2
12	сами по себе	2	2
13	можно сказать что	2	2
14	в данном случае	8	2
15	состоит в том	2	2
16	действующее лицо события	2	2
17	мы имеем дело	2	2
18	в соответствии с	4	2
19	не сводится к	2	2
20	не только в	6	2
21	подобно тому как	3	2
22	то же самое	2	2
23	главное действующее лицо	2	2
24	событие самого рассказывания	2	2
25	лицо события свидетель	2	2
26	события свидетель и	2	2
