N	2gram	Tiupa_Lite_2	FransuaR
1	и в	19	65
2	то есть	5	45
3	и др	3	24
4	как бы	2	22
5	и не	11	22
6	вовсе не	2	18
7	и т.п	10	17
8	в сущности	3	16
9	в том	10	16
10	в этом	9	15
11	но в	2	14
12	в нем	3	13
13	прежде всего	4	11
14	и на	6	11
15	том числе	2	10
16	и его	3	10
17	не только	8	10
18	но и	10	10
19	так и	7	10
20	в его	4	9
21	во всех	3	9
22	в основе	2	8
23	и даже	8	8
24	в области	4	7
25	жизни и	4	7
26	точки зрения	4	7
27	никогда не	3	6
28	не знает	2	6
29	том что	7	6
30	все же	2	6
31	еще не	2	6
32	при этом	6	6
33	может быть	17	6
34	в ней	4	6
35	в году	5	6
36	одно из	2	6
37	так как	3	6
38	в одном	2	5
39	в частности	4	5
40	жизни в	4	5
41	в них	2	5
42	потому что	2	5
43	для него	4	5
44	и одновременно	2	5
45	как и	10	5
46	в своих	2	5
47	и к	2	4
48	не в	4	4
49	в этой	3	4
50	это как	2	4
51	из них	2	4
52	и до	2	4
53	мысли и	2	4
54	в их	3	4
55	для нас	2	4
56	и еще	2	4
57	в жизни	2	4
58	что в	4	3
59	перестает быть	3	3
60	не является	2	3
61	на фоне	5	3
62	что он	3	3
63	в ее	2	3
64	но это	3	3
65	даже в	4	3
66	с точки	3	3
67	то что	7	3
68	как раз	2	3
69	не может	9	3
70	этом отношении	3	3
71	и других	4	3
72	в себя	3	3
73	уже не	2	3
74	жизни как	2	3
75	с другой	8	3
76	друг друга	2	3
77	даже и	2	3
78	он и	2	3
79	в себе	6	3
80	в искусстве	4	3
81	но как	2	3
82	с ним	2	3
83	ничего не	3	3
84	и с	3	3
85	в виду	2	3
86	мира в	2	3
87	но не	5	2
88	и без	2	2
89	в противоположность	2	2
90	же в	2	2
91	а затем	2	2
92	до конца	2	2
93	одной стороны	6	2
94	и он	3	2
95	при всей	2	2
96	свое время	2	2
97	он не	5	2
98	в свое	2	2
99	не вполне	2	2
100	и для	3	2
101	в целом	2	2
102	не к	2	2
103	к жизни	2	2
104	с одной	7	2
105	того что	5	2
106	что не	2	2
107	и наконец	2	2
108	одним из	3	2
109	но с	3	2
110	могут быть	2	2
111	о том	2	2
112	из тех	2	2
113	это его	2	2
