N	2gram	Losev_Prob_2	VelikijI
1	и не	37	20
2	и в	35	16
3	то что	38	9
4	так как	7	9
5	еще не	10	8
6	в истории	3	8
7	что они	3	7
8	а не	10	7
9	не есть	33	6
10	хотя и	3	5
11	как бы	4	5
12	но и	16	5
13	все это	4	5
14	того что	12	5
15	и есть	4	4
16	что все	6	4
17	что он	4	4
18	как и	5	4
19	все что	3	4
20	что мы	14	4
21	так и	7	4
22	что не	5	4
23	потому что	13	4
24	в этом	17	4
25	в ней	2	4
26	говорить о	10	4
27	и все	5	4
28	в его	7	4
29	если не	4	3
30	что в	11	3
31	по этому	3	3
32	в этих	4	3
33	в них	2	3
34	в конце	7	3
35	ни в	6	3
36	в том	12	3
37	не в	2	3
38	но это	6	3
39	мы же	2	3
40	тот же	4	3
41	и мы	2	3
42	к тому	3	3
43	во всех	2	3
44	оно не	3	3
45	то это	3	3
46	что и	2	3
47	бы и	7	3
48	тому что	3	3
49	не было	3	3
50	лишь в	3	3
51	и что	13	3
52	не имеет	7	3
53	хотя бы	12	3
54	и для	6	3
55	должно быть	2	3
56	их в	4	3
57	все эти	7	3
58	нет ничего	2	3
59	но в	6	3
60	мы это	2	2
61	что их	2	2
62	не могут	4	2
63	с тем	3	2
64	прежде всего	11	2
65	под этим	5	2
66	для нас	9	2
67	да и	10	2
68	том что	19	2
69	мы и	6	2
70	одна из	3	2
71	но не	4	2
72	конечно не	2	2
73	для них	3	2
74	и сам	2	2
75	того чтобы	2	2
76	не только	24	2
77	значения и	11	2
78	нет и	3	2
79	один из	3	2
80	но мы	3	2
81	и т	6	2
82	не будет	11	2
83	на том	3	2
84	зачем же	2	2
85	т д	6	2
86	все равно	3	2
87	тем что	4	2
88	мы не	7	2
89	уже не	8	2
90	не так	2	2
91	а в	4	2
92	можно было	5	2
93	и то	10	2
94	является в	2	2
95	самого себя	2	2
96	только в	14	2
97	и это	5	2
98	во всяком	13	2
99	которые не	2	2
100	не имел	2	2
