N	2gram	Propp_Isto_5	EvropaiE
1	и в	25	37
2	в пределах	4	25
3	точки зрения	2	23
4	что в	8	21
5	не только	13	18
6	в то	3	16
7	то же	4	15
8	в качестве	7	14
9	но и	13	14
10	и не	11	14
11	в этом	10	12
12	в том	6	11
13	прежде всего	6	9
14	не может	6	9
15	т е	16	9
16	только в	7	9
17	так же	5	9
18	в ее	4	8
19	одной стороны	7	8
20	в своей	2	8
21	с одной	7	8
22	как и	7	7
23	того что	2	7
24	с другой	9	7
25	так как	11	7
26	с этой	2	6
27	вовсе не	2	6
28	том что	8	6
29	может быть	17	6
30	для того	3	6
31	на то	2	6
32	как бы	2	6
33	то что	7	6
34	во всех	2	6
35	того чтобы	3	6
36	и на	8	6
37	же как	4	5
38	в частности	7	5
39	не в	6	5
40	но не	5	5
41	к которым	2	5
42	от берега	2	5
43	со стороны	2	5
44	как мы	5	5
45	в течение	2	5
46	и по	2	5
47	от этого	4	5
48	в виде	9	5
49	и потому	2	5
50	в некотором	2	4
51	вопрос о	2	4
52	можно сказать	2	4
53	несмотря на	2	4
54	хозяйственной жизни	2	4
55	то в	2	4
56	в ней	5	4
57	даже в	2	4
58	по себе	2	4
59	для нас	5	4
60	мы не	5	4
61	сказать что	2	4
62	этих народов	2	3
63	с тем	8	3
64	уже и	2	3
65	к морю	2	3
66	никогда не	3	3
67	на себя	3	3
68	с другом	2	3
69	приближается к	2	3
70	от них	2	3
71	мы видели	7	3
72	представляет собой	7	3
73	мы можем	2	3
74	в свою	3	3
75	очевидно что	2	3
76	того же	2	3
77	связано с	5	3
78	друг с	2	3
79	и мы	2	3
80	из них	2	3
81	и тем	4	3
82	что и	6	3
83	говорит о	2	3
84	когда он	2	3
85	время в	2	3
86	ее в	2	3
87	как в	6	3
88	и для	2	3
89	в которых	3	3
90	потому что	7	3
91	тем что	10	3
92	в данном	3	3
93	о том	7	3
94	там где	6	3
95	что все	4	2
96	а не	2	2
97	в этих	6	2
98	с этим	5	2
99	и все	3	2
100	к нему	3	2
101	представление о	17	2
102	же в	2	2
103	и как	3	2
104	это значит	2	2
105	такой же	2	2
106	во власти	2	2
107	что это	5	2
108	она не	2	2
109	он не	4	2
110	в его	12	2
111	если в	3	2
112	при помощи	7	2
113	жизни и	2	2
114	в некоторых	4	2
115	наряду с	4	2
116	вместе с	22	2
117	данном случае	2	2
118	и таким	2	2
119	а в	3	2
120	таким образом	9	2
121	если бы	2	2
122	на них	2	2
123	и других	2	2
124	а именно	4	2
125	и что	8	2
126	другой стороны	8	2
127	к берегу	3	2
128	в других	2	2
129	с другими	4	2
130	мы видим	8	2
131	или в	6	2
132	в другой	3	2
133	с большой	2	2
134	и с	3	2
135	могут быть	6	2
136	в этой	3	2
137	в истории	4	2
138	мы должны	4	2
139	его на	4	2
140	тогда когда	2	2
