N	2gram	Propp_Isto_7	Psycholo
1	то что	7	37
2	и в	24	30
3	в том	7	27
4	что в	13	24
5	и что	10	23
6	потому что	9	23
7	том что	10	21
8	таким образом	7	20
9	как бы	4	19
10	что он	21	17
11	на то	3	17
12	не только	21	16
13	в самом	2	14
14	в этом	12	14
15	так же	6	13
16	одной стороны	5	12
17	вместе с	7	12
18	с одной	5	12
19	может быть	14	11
20	что мы	3	11
21	о том	9	10
22	никогда не	4	9
23	с другой	9	9
24	мы увидим	6	9
25	и когда	2	9
26	не может	14	9
27	увидим что	2	9
28	сказать что	2	9
29	так как	8	9
30	что это	6	8
31	тому что	2	8
32	мы имеем	12	8
33	не в	9	8
34	а не	8	8
35	при этом	4	8
36	того что	6	8
37	мы видим	10	8
38	и это	2	8
39	в нем	6	7
40	но не	6	7
41	мы можем	4	7
42	все же	9	7
43	и т	17	7
44	то же	8	7
45	совершенно ясно	4	7
46	точки зрения	4	7
47	героя и	5	7
48	как это	2	7
49	в основе	2	7
50	уже в	3	6
51	что она	5	6
52	как и	6	6
53	и если	3	6
54	и тем	2	6
55	но и	11	6
56	и не	4	6
57	и его	3	6
58	или в	8	6
59	и здесь	12	6
60	тем что	6	6
61	мы уже	4	6
62	по этому	2	5
63	совершенно очевидно	2	5
64	как мы	3	5
65	что они	3	5
66	еще не	8	5
67	до сих	2	5
68	было бы	2	5
69	когда он	3	5
70	один из	7	5
71	сих пор	3	5
72	другой стороны	8	5
73	но в	5	5
74	только в	6	5
75	ответ на	6	5
76	как только	2	4
77	от него	3	4
78	и все	6	4
79	этот вопрос	2	4
80	прежде всего	2	4
81	стороны и	2	4
82	то это	5	4
83	говорит о	2	4
84	в них	3	4
85	только на	2	4
86	а в	10	4
87	там где	5	4
88	в конце	3	4
89	должен был	2	4
90	не можем	2	4
91	не могут	2	3
92	что герой	12	3
93	и другие	9	3
94	у него	10	3
95	что у	4	3
96	в состоянии	4	3
97	это не	10	3
98	из этих	3	3
99	к этому	2	3
100	и говорит	4	3
101	вовсе не	4	3
102	вопрос о	3	3
103	показывает что	8	3
104	видим что	3	3
105	для нас	6	3
106	об этом	6	3
107	так что	3	3
108	одна из	7	3
109	что здесь	7	3
110	тот же	2	3
111	когда она	2	3
112	он говорит	2	3
113	он не	6	3
114	в ее	2	3
115	что и	8	3
116	на его	2	3
117	ни в	2	3
118	данном случае	3	3
119	так и	5	3
120	со стороны	2	3
121	что при	2	3
122	как в	12	3
123	в их	4	3
124	так например	2	3
125	так в	4	3
126	т д	16	3
127	и о	2	3
128	и наконец	3	3
129	на этот	2	3
130	по его	2	3
131	мы не	4	3
132	в силу	2	3
133	но он	2	3
134	и на	2	3
135	в данном	4	3
136	мы должны	4	3
137	в этих	13	3
138	этим он	2	3
139	в которой	2	3
140	образом мы	2	3
141	из самых	2	2
142	с этой	6	2
143	перед нами	2	2
144	в ответ	3	2
145	с его	3	2
146	же как	4	2
147	связи с	3	2
148	он в	2	2
149	знаем что	3	2
150	в одной	2	2
151	с этим	2	2
152	что эти	2	2
153	их не	2	2
154	это означает	2	2
155	на первый	4	2
156	мы знаем	2	2
157	дает ему	2	2
158	нас не	2	2
159	по существу	4	2
160	но все	4	2
161	предположить что	3	2
162	того же	2	2
163	это значит	2	2
164	что по	2	2
165	со своим	4	2
166	и эта	2	2
167	следующим образом	3	2
168	том чтобы	3	2
169	с героем	2	2
170	на том	2	2
171	в качестве	3	2
172	что тот	2	2
173	в котором	2	2
174	себе и	3	2
175	еще один	2	2
176	из них	2	2
177	представляют собой	5	2
178	во всех	7	2
179	в форме	2	2
180	все это	8	2
181	отличается от	2	2
182	того как	3	2
183	и другое	2	2
184	и герой	3	2
185	и даже	3	2
186	и он	3	2
187	время как	2	2
188	ничего не	5	2
189	героя а	2	2
190	и так	2	2
191	он дает	3	2
192	во всем	2	2
193	в то	2	2
194	его на	2	2
195	как он	6	2
196	все эти	2	2
197	только о	2	2
