N	2gram	Berdyaev_V_1	FransuaR
1	и в	16	65
2	как бы	5	22
3	и не	20	22
4	в том	3	16
5	в этом	4	15
6	но в	3	14
7	в нем	4	13
8	прежде всего	2	11
9	и потому	7	10
10	не только	2	10
11	но и	5	10
12	так и	4	10
13	все эти	3	10
14	в его	4	9
15	во всех	3	9
16	все это	5	9
17	в духе	2	8
18	жизни и	3	7
19	только в	2	7
20	никогда не	3	6
21	том что	2	6
22	еще не	8	6
23	в ней	4	6
24	так как	9	6
25	с его	3	5
26	в них	3	5
27	превращается в	3	5
28	потому что	4	5
29	для него	2	5
30	земли и	2	5
31	в своей	3	5
32	как и	4	5
33	между тем	2	5
34	и все	4	5
35	не в	3	4
36	для нас	2	4
37	в жизни	3	4
38	не могут	2	3
39	мир и	2	3
40	что в	3	3
41	это не	2	3
42	и во	2	3
43	что он	4	3
44	но это	3	3
45	мы и	2	3
46	то что	9	3
47	в себя	2	3
48	в форме	2	3
49	уже не	2	3
50	нет ничего	3	3
51	с ним	2	3
52	мира в	2	3
53	но не	2	2
54	мир от	2	2
55	к тому	3	2
56	его к	2	2
57	да и	2	2
58	от него	2	2
59	они в	3	2
60	хотя и	5	2
61	нет и	2	2
62	и для	3	2
63	не к	2	2
64	было еще	2	2
65	истории и	2	2
66	того что	5	2
67	что не	4	2
68	что мы	4	2
69	их в	3	2
70	в этих	3	2
71	могут быть	2	2
72	и это	2	2
73	в чем	3	2
