N	2gram	Propp_Isto_3	Myslijsy
1	потому что	3	46
2	в том	9	32
3	и в	22	30
4	может быть	11	28
5	то же	6	23
6	не только	14	21
7	только в	4	21
8	для нас	4	20
9	но и	12	19
10	том что	8	18
11	то что	7	18
12	того что	5	18
13	что в	15	17
14	не в	4	15
15	и не	12	15
16	а не	6	15
17	таким образом	10	14
18	что и	9	13
19	так как	7	13
20	точно так	2	12
21	вместе с	9	12
22	а в	6	12
23	если бы	6	12
24	так и	2	11
25	как и	3	10
26	как в	2	10
27	и что	2	10
28	в этом	17	10
29	в то	2	10
30	из этих	3	9
31	было бы	3	9
32	в нем	9	9
33	между тем	2	9
34	в ней	2	8
35	что не	2	8
36	и то	2	8
37	с другой	7	7
38	вовсе не	2	7
39	к тому	3	7
40	как мы	8	7
41	так что	5	7
42	с тем	2	7
43	но не	7	7
44	с одной	2	7
45	тем что	4	7
46	что он	9	6
47	но это	3	6
48	с этим	8	6
49	из них	7	6
50	например в	2	6
51	то это	2	6
52	то и	6	6
53	не может	4	6
54	там же	2	6
55	уже не	7	6
56	не имеет	2	6
57	независимо от	2	5
58	в них	6	5
59	можно видеть	2	5
60	и как	3	5
61	в своем	2	5
62	еще не	10	5
63	отношению к	2	5
64	не менее	5	5
65	по отношению	2	5
66	есть только	2	5
67	сказать что	3	5
68	и т	16	5
69	к ней	4	5
70	и от	3	4
71	мы видели	13	4
72	все что	3	4
73	то время	2	4
74	в его	3	4
75	относится к	2	4
76	в котором	2	4
77	не все	6	4
78	один из	5	4
79	другой стороны	7	4
80	от своих	2	4
81	на это	2	4
82	и его	4	4
83	он не	5	4
84	не было	2	4
85	если не	2	4
86	все равно	3	4
87	мы должны	7	4
88	далеко не	3	4
89	и это	2	4
90	и потому	2	4
91	и есть	2	3
92	могут быть	5	3
93	в животном	2	3
94	прежде всего	3	3
95	и все	3	3
96	к этому	7	3
97	связь с	6	3
98	тем не	5	3
99	мы можем	6	3
100	в свою	4	3
101	до сих	5	3
102	можно сказать	2	3
103	одной стороны	2	3
104	при этом	2	3
105	что она	5	3
106	никто не	2	3
107	в целом	3	3
108	образом и	2	3
109	со стороны	3	3
110	только на	2	3
111	т д	15	3
112	к нему	5	3
113	в силу	2	3
114	друг друга	6	3
115	так же	3	3
116	или в	11	3
117	и на	4	3
118	образом в	2	3
119	за ним	3	3
120	его в	3	3
121	там где	7	3
122	в чем	3	3
123	сих пор	5	3
124	только не	2	2
125	во время	6	2
126	но все	2	2
127	связи с	6	2
128	в одном	2	2
129	на все	2	2
130	не всегда	4	2
131	показывает что	5	2
132	не дает	2	2
133	от них	3	2
134	отношение к	4	2
135	мы видим	8	2
136	в этой	5	2
137	что они	8	2
138	от него	2	2
139	можно только	3	2
140	у него	3	2
141	но тем	2	2
142	она не	4	2
143	на его	3	2
144	не могла	2	2
145	выше мы	3	2
146	и о	2	2
147	должно было	2	2
148	мы уже	6	2
149	но этот	2	2
150	даже в	2	2
151	все же	5	2
152	же в	2	2
153	жизни и	2	2
154	целый ряд	3	2
155	так в	6	2
156	в других	4	2
157	в виде	2	2
158	из того	2	2
159	и даже	2	2
160	несомненно что	2	2
161	той же	2	2
162	в которых	2	2
163	что по	2	2
164	их в	3	2
165	ни в	2	2
166	точки зрения	2	2
167	у меня	5	2
168	о том	3	2
169	связанное с	2	2
170	то не	2	2
171	и с	4	2
