N	2gram	Potebnia_M_3	NovoeSre
1	а не	15	17
2	не может	6	16
3	и в	30	16
4	и не	15	11
5	и есть	3	10
6	что в	17	9
7	жизни и	2	8
8	он не	4	8
9	в том	32	8
10	не будет	3	7
11	как и	10	7
12	в этом	10	7
13	может быть	28	7
14	не знает	3	6
15	не в	15	6
16	но это	6	6
17	ни в	2	6
18	в нем	9	5
19	все это	4	5
20	в ней	8	5
21	не только	21	5
22	не менее	5	4
23	то что	18	4
24	перестает быть	4	4
25	в них	5	4
26	и все	3	4
27	не было	4	4
28	быть может	3	4
29	не имеет	6	4
30	должно быть	5	4
31	потому что	46	4
32	по своему	2	4
33	прежде всего	3	4
34	и мы	2	4
35	о том	2	4
36	и потому	4	4
37	жизни не	3	3
38	но и	19	3
39	не есть	17	3
40	не существует	3	3
41	в своей	2	3
42	с другой	7	3
43	человека и	5	3
44	к тому	7	3
45	что такое	2	3
46	в ее	2	3
47	перейти от	2	3
48	с тем	7	3
49	подобно тому	2	3
50	как в	10	3
51	она не	2	3
52	еще не	5	3
53	тому как	5	3
54	за пределы	2	3
55	сказать что	5	3
56	это было	3	3
57	что все	3	2
58	место в	3	2
59	у него	2	2
60	вместе с	12	2
61	в природе	2	2
62	так и	11	2
63	что она	3	2
64	мысли и	2	2
65	другой стороны	4	2
66	и от	4	2
67	а в	12	2
68	с одной	7	2
69	думать что	5	2
70	уже не	6	2
71	того чтобы	3	2
72	одной стороны	3	2
73	зависит от	6	2
74	и даже	2	2
75	но не	7	2
76	так же	3	2
77	это и	2	2
78	мы не	9	2
79	том что	18	2
80	в смысле	4	2
81	есть в	3	2
82	и с	2	2
83	и что	10	2
84	могут быть	3	2
85	с этим	6	2
86	и на	3	2
87	не к	4	2
88	в себе	16	2
89	в то	10	2
90	не могла	2	2
91	и это	4	2
92	к содержанию	3	2
93	когда мы	2	2
94	том чтобы	2	2
95	должно было	2	2
96	в новом	2	2
