N	2gram	Losev_Dial_2	Freidism
1	таким образом	4	24
2	и не	30	23
3	– это	6	21
4	не может	9	20
5	точки зрения	12	19
6	прежде всего	8	18
7	и пр	5	15
8	в этом	8	15
9	это –	23	14
10	в душе	7	13
11	может быть	20	13
12	и его	5	12
13	– в	8	11
14	как и	10	11
15	как бы	14	11
16	то что	14	11
17	все эти	2	11
18	с точки	8	11
19	и потому	5	10
20	так и	10	10
21	как мы	3	10
22	самом деле	4	10
23	его в	3	10
24	с ним	4	10
25	но в	2	10
26	и в	19	9
27	во всех	2	9
28	что он	6	8
29	еще не	4	8
30	в своей	8	8
31	он не	4	8
32	не только	19	8
33	все это	4	8
34	то же	12	8
35	только в	5	8
36	и все	12	8
37	так как	14	8
38	ни в	10	7
39	к нему	4	7
40	во всяком	2	7
41	в самом	5	7
42	что же	2	7
43	– не	9	7
44	сказать что	10	7
45	мы уже	8	7
46	всяком случае	2	7
47	– как	2	6
48	никогда не	9	6
49	вовсе не	13	6
50	за пределы	4	6
51	того что	6	6
52	в ней	2	6
53	совершенно не	7	6
54	хотя бы	4	6
55	– все	2	6
56	и с	5	6
57	и к	7	5
58	но мы	2	5
59	можно сказать	5	5
60	не в	8	5
61	в этой	3	5
62	в чем	3	5
63	в то	6	5
64	что такое	3	5
65	что в	7	5
66	но и	12	5
67	и прежде	2	5
68	на самом	2	5
69	оно –	2	5
70	а в	4	5
71	могут быть	4	5
72	с этим	3	5
73	в каком	4	5
74	мы должны	2	5
75	я и	2	5
76	не менее	3	4
77	но не	6	4
78	я не	6	4
79	сознания и	5	4
80	в этих	3	4
81	в жизни	2	4
82	и образы	2	4
83	если мы	2	4
84	к тому	2	4
85	об этом	3	4
86	всех этих	3	4
87	же время	5	4
88	– и	3	4
89	на этом	2	4
90	при этом	4	4
91	конечно не	6	4
92	от того	4	4
93	же –	4	4
94	как раз	5	4
95	в зависимости	2	4
96	в нем	10	4
97	все же	4	4
98	данном случае	2	4
99	это только	3	4
100	не было	3	4
101	мы находим	3	4
102	уже не	3	4
103	с самого	2	4
104	в которой	2	4
105	в таком	4	4
106	с ними	2	4
107	в данном	3	4
108	потому что	14	4
109	во время	2	4
110	говорить о	5	4
111	зависимости от	2	4
112	не могут	4	3
113	самого начала	2	3
114	нисколько не	4	3
115	и есть	4	3
116	тому что	2	3
117	и от	3	3
118	а только	3	3
119	в себе	15	3
120	это как	3	3
121	и как	10	3
122	но это	7	3
123	по своему	5	3
124	сейчас же	3	3
125	в узком	2	3
126	она не	8	3
127	и может	6	3
128	было бы	3	3
129	в общем	2	3
130	и она	2	3
131	ни о	2	3
132	ни на	2	3
133	ее в	2	3
134	нет никакого	2	3
135	с ее	2	3
136	себя в	2	3
137	только то	4	3
138	жизни и	6	3
139	на него	2	3
140	вместе с	2	3
141	как в	2	3
142	и вот	4	3
143	и что	5	3
144	и по	4	3
145	мы имеем	3	3
146	уже знаем	3	3
147	в искусстве	2	3
148	но ведь	2	3
149	таком случае	3	3
150	человека и	2	3
151	есть и	6	2
152	уже в	4	2
153	или иное	4	2
154	зависит от	2	2
155	но все	2	2
156	только не	2	2
157	– к	2	2
158	что это	10	2
159	это уже	2	2
160	быть и	4	2
161	реальности и	2	2
162	что бы	2	2
163	в какой	2	2
164	с другой	5	2
165	миф и	2	2
166	это не	10	2
167	в конце	2	2
168	– совершенно	3	2
169	в одну	5	2
170	же самое	2	2
171	только о	2	2
172	не нуждается	4	2
173	и уже	3	2
174	тем не	2	2
175	в ее	4	2
176	да и	6	2
177	это и	3	2
178	том что	10	2
179	из всего	2	2
180	а не	16	2
181	что с	2	2
182	он –	6	2
183	и часто	2	2
184	из них	3	2
185	на всю	2	2
186	что мы	2	2
187	в своем	4	2
188	себе и	3	2
189	как не	2	2
190	дело не	2	2
191	сих пор	2	2
192	что она	14	2
193	жизни –	2	2
194	в их	2	2
195	это вовсе	2	2
196	с одной	2	2
197	что оно	4	2
198	и они	2	2
199	а потому	2	2
200	чтобы не	6	2
201	должны быть	3	2
202	в науке	2	2
203	тем же	2	2
204	и даже	14	2
205	и притом	7	2
206	так же	2	2
207	мы видим	2	2
208	и то	7	2
209	их в	2	2
210	то или	4	2
211	от этого	3	2
212	нуждается в	3	2
213	вещи и	3	2
214	они не	3	2
215	в своих	2	2
216	что и	5	2
217	и при	2	2
218	но как	5	2
219	в другом	4	2
220	и вообще	6	2
221	до сих	2	2
222	есть та	3	2
223	нами выше	2	2
224	когда мы	3	2
225	– мы	3	2
226	как это	7	2
227	в области	2	2
228	в виду	5	2
229	это было	3	2
