N	2gram	Losev_Dial_1	Hudozhes
1	том что	9	16
2	и в	18	14
3	так и	9	13
4	а не	14	12
5	в том	9	12
6	не только	13	12
7	о том	4	12
8	прежде всего	10	11
9	и т	21	11
10	в этом	12	11
11	в себе	11	11
12	для него	2	10
13	в своей	2	10
14	что он	11	9
15	как и	2	9
16	в качестве	2	9
17	то же	10	9
18	как в	2	8
19	то что	13	8
20	же время	4	8
21	т п	2	8
22	в то	6	8
23	в его	3	8
24	ничего не	17	8
25	быть может	4	7
26	это не	9	7
27	к тому	4	7
28	уже не	2	7
29	не в	6	7
30	еще не	2	7
31	как бы	11	7
32	не может	12	7
33	именно в	2	7
34	а в	5	7
35	никогда не	9	6
36	что в	13	6
37	было бы	12	6
38	не менее	2	5
39	в частности	2	5
40	в этих	5	5
41	об этом	4	5
42	может быть	17	5
43	только в	3	5
44	и он	5	5
45	но и	7	5
46	жизни и	3	5
47	самом деле	3	5
48	можно было	5	5
49	потому что	14	5
50	ни в	15	5
51	точки зрения	17	5
52	но в	6	5
53	тому что	3	4
54	в своем	5	4
55	и быть	2	4
56	т е	25	4
57	та же	3	4
58	и от	2	4
59	и все	3	4
60	на то	5	4
61	можно сказать	6	4
62	а только	3	4
63	то в	7	4
64	она не	6	4
65	несмотря на	10	4
66	в самом	3	4
67	и о	3	4
68	в ней	3	4
69	один из	3	4
70	что она	7	4
71	из них	2	4
72	как раз	4	4
73	не было	6	4
74	того что	2	4
75	только что	3	4
76	он не	3	4
77	в конце	4	4
78	и это	2	4
79	с ним	6	4
80	и с	5	4
81	но не	4	3
82	или иная	3	3
83	если бы	12	3
84	отнюдь не	9	3
85	с этим	2	3
86	та или	3	3
87	в мире	2	3
88	как мы	4	3
89	говорить о	5	3
90	от него	4	3
91	на этом	2	3
92	даже в	3	3
93	в нем	16	3
94	все же	5	3
95	со стороны	2	3
96	то и	2	3
97	т д	19	3
98	и для	2	3
99	этом отношении	2	3
100	все эти	2	3
101	и даже	13	3
102	с точки	12	3
103	или не	5	3
104	ничем не	3	3
105	такой же	2	3
106	может и	4	3
107	ни к	2	2
108	поэтому и	2	2
109	если в	3	2
110	и другое	2	2
111	тех кто	2	2
112	несет на	2	2
113	и так	2	2
114	и потому	3	2
115	ясно что	8	2
116	вопрос о	2	2
117	по себе	25	2
118	не нужно	2	2
119	да и	6	2
120	так что	15	2
121	в другом	2	2
122	с той	2	2
123	же как	2	2
124	об одном	2	2
125	и что	12	2
126	на себе	3	2
127	себе и	2	2
128	только на	3	2
129	в первую	2	2
130	говоря о	2	2
131	никак не	6	2
132	хотя и	4	2
133	в него	2	2
134	для нее	2	2
135	как он	4	2
136	сих пор	2	2
137	что же	3	2
138	в их	3	2
139	все это	11	2
140	для своего	2	2
141	а с	2	2
142	не знает	2	2
143	все равно	3	2
144	и не	30	2
145	но с	3	2
146	на самом	3	2
147	только потому	3	2
148	что не	7	2
149	не имеет	15	2
150	должно быть	3	2
151	с ними	2	2
152	с этой	2	2
153	не о	4	2
154	и об	4	2
155	что я	3	2
156	но как	2	2
157	заметить что	2	2
158	которая не	2	2
159	как она	7	2
160	до сих	2	2
