N	2gram	Voloshinov_2	Istorich
1	и в	19	24
2	что он	4	21
3	не только	13	21
4	может быть	28	14
5	не может	18	14
6	в этих	3	13
7	что в	2	13
8	в этом	15	12
9	и здесь	5	12
10	но и	10	11
11	это не	4	10
12	у него	2	10
13	том что	10	10
14	а в	3	10
15	с другой	3	9
16	не в	10	9
17	все же	5	9
18	о том	3	9
19	еще не	3	8
20	что и	3	8
21	то же	16	8
22	а не	9	8
23	или в	2	8
24	так как	3	8
25	в том	7	7
26	мы видели	4	7
27	одна из	7	7
28	во всех	6	7
29	то что	4	7
30	вместе с	2	7
31	к нему	5	7
32	таким образом	14	7
33	тем что	2	6
34	как и	9	6
35	так же	5	6
36	но не	2	6
37	мы увидим	2	6
38	в нем	11	6
39	он не	3	6
40	и все	6	6
41	того что	4	6
42	только в	8	6
43	что это	2	6
44	ответ на	2	6
45	в тех	2	5
46	одной стороны	3	5
47	так и	10	5
48	с одной	3	5
49	здесь мы	3	5
50	ничего не	4	5
51	там где	2	5
52	но в	7	5
53	никогда не	7	4
54	вовсе не	11	4
55	при этом	9	4
56	одной из	3	4
57	мы уже	6	4
58	как бы	19	4
59	в их	5	4
60	и не	19	4
61	не имеет	3	4
62	мы не	2	4
63	точки зрения	17	4
64	в данном	5	4
65	мы можем	6	4
66	уже в	2	3
67	с его	8	3
68	из одного	4	3
69	в качестве	3	3
70	вступает в	2	3
71	но они	2	3
72	вопрос о	2	3
73	на то	4	3
74	в различных	3	3
75	что они	2	3
76	его в	7	3
77	связано с	3	3
78	сих пор	3	3
79	как мы	15	3
80	должны быть	2	3
81	и даже	2	3
82	и он	2	3
83	и его	16	3
84	уже знаем	2	3
85	от него	2	3
86	связи с	13	3
87	перед нами	3	2
88	не будет	3	2
89	но по	2	2
90	тому что	4	2
91	того же	5	2
92	и от	3	2
93	лежит в	2	2
94	к этому	5	2
95	прежде всего	7	2
96	стороны и	2	2
97	и ее	4	2
98	в то	8	2
99	мы знаем	2	2
100	ни в	6	2
101	в ее	3	2
102	нас не	2	2
103	из всего	2	2
104	в форме	5	2
105	было бы	4	2
106	в самом	6	2
107	не имеют	3	2
108	и эта	2	2
109	и о	2	2
110	но для	2	2
111	в основном	4	2
112	в котором	3	2
113	тем более	5	2
114	и тем	4	2
115	другими словами	2	2
116	связь с	4	2
117	в связи	7	2
118	нами в	3	2
119	в особенности	2	2
120	характерно что	3	2
121	мы здесь	2	2
122	в чужую	3	2
123	что не	2	2
124	и у	2	2
125	не так	2	2
126	друг друга	2	2
127	сказать что	4	2
128	как такой	3	2
129	в основе	9	2
130	в одной	2	2
131	с этим	3	2
132	и на	5	2
133	они не	2	2
134	только на	4	2
135	все эти	3	2
136	и это	3	2
137	конечно не	4	2
138	все его	2	2
139	до сих	3	2
